"task_id","phase","value"
"s3r_0009__LA_D1_RAW_N500__r03__auto__full","evaluated_lambda_count",8
"s3r_0009__LA_D1_RAW_N500__r03__auto__full","unique_lambda_count",8
"s3r_0009__LA_D1_RAW_N500__r03__auto__full","boundary_expansion_count",2
"s3r_0010__LA_D1_RAW_N500__r03__auto__screened","total.elapsed.sec",2.427
"s3r_0010__LA_D1_RAW_N500__r03__auto__screened","phase_frames_sec",0.0890000000000004
"s3r_0010__LA_D1_RAW_N500__r03__auto__screened","phase_sync_rows_sec",0.0709999999999997
"s3r_0010__LA_D1_RAW_N500__r03__auto__screened","phase_system_cache_sec",0.00900000000000034
"s3r_0010__LA_D1_RAW_N500__r03__auto__screened","phase_fold_component_cache_sec",0.386000000000001
"s3r_0010__LA_D1_RAW_N500__r03__auto__screened","phase_full_component_cache_sec",0.0779999999999994
"s3r_0010__LA_D1_RAW_N500__r03__auto__screened","phase_lambda_search_sec",1.737
"s3r_0010__LA_D1_RAW_N500__r03__auto__screened","phase_final_solve_sec",0.0359999999999996
"s3r_0010__LA_D1_RAW_N500__r03__auto__screened","evaluated_lambda_count",8
"s3r_0010__LA_D1_RAW_N500__r03__auto__screened","unique_lambda_count",8
"s3r_0010__LA_D1_RAW_N500__r03__auto__screened","boundary_expansion_count",2
"s3r_0011__LA_D1_RAW_N500__r03__local_auto__full","total.elapsed.sec",6.04899999999999
"s3r_0011__LA_D1_RAW_N500__r03__local_auto__full","phase_frames_sec",0.198999999999998
"s3r_0011__LA_D1_RAW_N500__r03__local_auto__full","phase_sync_rows_sec",0.141000000000005
"s3r_0011__LA_D1_RAW_N500__r03__local_auto__full","phase_system_cache_sec",0.0450000000000017
"s3r_0011__LA_D1_RAW_N500__r03__local_auto__full","phase_fold_component_cache_sec",0.831000000000003
"s3r_0011__LA_D1_RAW_N500__r03__local_auto__full","phase_full_component_cache_sec",0.135999999999996
"s3r_0011__LA_D1_RAW_N500__r03__local_auto__full","phase_lambda_search_sec",3.90600000000001
"s3r_0011__LA_D1_RAW_N500__r03__local_auto__full","phase_final_solve_sec",0.0719999999999885
"s3r_0011__LA_D1_RAW_N500__r03__local_auto__full","evaluated_lambda_count",8
"s3r_0011__LA_D1_RAW_N500__r03__local_auto__full","unique_lambda_count",8
"s3r_0011__LA_D1_RAW_N500__r03__local_auto__full","boundary_expansion_count",2
"s3r_0012__LA_D1_RAW_N500__r03__local_auto__screened","total.elapsed.sec",9.463
"s3r_0012__LA_D1_RAW_N500__r03__local_auto__screened","phase_frames_sec",0.409999999999997
"s3r_0012__LA_D1_RAW_N500__r03__local_auto__screened","phase_sync_rows_sec",0.218000000000004
"s3r_0012__LA_D1_RAW_N500__r03__local_auto__screened","phase_system_cache_sec",0.0549999999999997
"s3r_0012__LA_D1_RAW_N500__r03__local_auto__screened","phase_fold_component_cache_sec",1.306
"s3r_0012__LA_D1_RAW_N500__r03__local_auto__screened","phase_full_component_cache_sec",0.350000000000001
"s3r_0012__LA_D1_RAW_N500__r03__local_auto__screened","phase_lambda_search_sec",5.82
"s3r_0012__LA_D1_RAW_N500__r03__local_auto__screened","phase_final_solve_sec",0.0910000000000011
"s3r_0012__LA_D1_RAW_N500__r03__local_auto__screened","evaluated_lambda_count",8
"s3r_0012__LA_D1_RAW_N500__r03__local_auto__screened","unique_lambda_count",8
"s3r_0012__LA_D1_RAW_N500__r03__local_auto__screened","boundary_expansion_count",2
"s3r_0013__LA_D1_HC_Li_N500__r01__auto__full","total.elapsed.sec",2.876
"s3r_0013__LA_D1_HC_Li_N500__r01__auto__full","phase_frames_sec",0.18
"s3r_0013__LA_D1_HC_Li_N500__r01__auto__full","phase_sync_rows_sec",0.174000000000001
"s3r_0013__LA_D1_HC_Li_N500__r01__auto__full","phase_system_cache_sec",0.0339999999999989
"s3r_0013__LA_D1_HC_Li_N500__r01__auto__full","phase_fold_component_cache_sec",0.356
"s3r_0013__LA_D1_HC_Li_N500__r01__auto__full","phase_full_component_cache_sec",0.0300000000000011
"s3r_0013__LA_D1_HC_Li_N500__r01__auto__full","phase_lambda_search_sec",2.046
"s3r_0013__LA_D1_HC_Li_N500__r01__auto__full","phase_final_solve_sec",0.0139999999999993
"s3r_0013__LA_D1_HC_Li_N500__r01__auto__full","evaluated_lambda_count",7
"s3r_0013__LA_D1_HC_Li_N500__r01__auto__full","unique_lambda_count",7
"s3r_0013__LA_D1_HC_Li_N500__r01__auto__full","boundary_expansion_count",1
"s3r_0014__LA_D1_HC_Li_N500__r01__auto__screened","total.elapsed.sec",1.28
"s3r_0014__LA_D1_HC_Li_N500__r01__auto__screened","phase_frames_sec",0.0880000000000001
"s3r_0014__LA_D1_HC_Li_N500__r01__auto__screened","phase_sync_rows_sec",0.0679999999999996
"s3r_0014__LA_D1_HC_Li_N500__r01__auto__screened","phase_system_cache_sec",0.0150000000000006
"s3r_0014__LA_D1_HC_Li_N500__r01__auto__screened","phase_fold_component_cache_sec",0.132
"s3r_0014__LA_D1_HC_Li_N500__r01__auto__screened","phase_full_component_cache_sec",0.0250000000000004
"s3r_0014__LA_D1_HC_Li_N500__r01__auto__screened","phase_lambda_search_sec",0.913
"s3r_0014__LA_D1_HC_Li_N500__r01__auto__screened","phase_final_solve_sec",0.0149999999999997
"s3r_0014__LA_D1_HC_Li_N500__r01__auto__screened","evaluated_lambda_count",7
"s3r_0014__LA_D1_HC_Li_N500__r01__auto__screened","unique_lambda_count",7
"s3r_0014__LA_D1_HC_Li_N500__r01__auto__screened","boundary_expansion_count",1
"s3r_0015__LA_D1_HC_Li_N500__r01__local_auto__full","total.elapsed.sec",4.761
"s3r_0015__LA_D1_HC_Li_N500__r01__local_auto__full","phase_frames_sec",0.134
"s3r_0015__LA_D1_HC_Li_N500__r01__local_auto__full","phase_sync_rows_sec",0.114000000000004
"s3r_0015__LA_D1_HC_Li_N500__r01__local_auto__full","phase_system_cache_sec",0.0470000000000113
"s3r_0015__LA_D1_HC_Li_N500__r01__local_auto__full","phase_fold_component_cache_sec",0.73299999999999
"s3r_0015__LA_D1_HC_Li_N500__r01__local_auto__full","phase_full_component_cache_sec",0.165000000000006
"s3r_0015__LA_D1_HC_Li_N500__r01__local_auto__full","phase_lambda_search_sec",2.77799999999999
"s3r_0015__LA_D1_HC_Li_N500__r01__local_auto__full","phase_final_solve_sec",0.0370000000000061
"s3r_0015__LA_D1_HC_Li_N500__r01__local_auto__full","evaluated_lambda_count",6
"s3r_0015__LA_D1_HC_Li_N500__r01__local_auto__full","unique_lambda_count",6
"s3r_0015__LA_D1_HC_Li_N500__r01__local_auto__full","boundary_expansion_count",0
"s3r_0016__LA_D1_HC_Li_N500__r01__local_auto__screened","total.elapsed.sec",6.149
"s3r_0016__LA_D1_HC_Li_N500__r01__local_auto__screened","phase_frames_sec",0.225999999999999
"s3r_0016__LA_D1_HC_Li_N500__r01__local_auto__screened","phase_sync_rows_sec",0.106999999999999
"s3r_0016__LA_D1_HC_Li_N500__r01__local_auto__screened","phase_system_cache_sec",0.00900000000000034
