"task_id","batch_id","dataset_id","geometry_family","n","p","repetition","response_seed","fold_seed","sigma","method","chart_dim_rule","search_policy","backend_variant","design_basis","support_grid","degree_grid","kernel_grid","lambda_sync_search","status","truth_rmse","observed_rmse","selected_cv_rmse_observed","selected_support_size","selected_degree","selected_kernel","selected_lambda_sync","selected_total_local_gcv_ps","selected_sync_energy","finite_cv_candidates","total_cv_candidates","local_candidates_total","local_candidates_evaluated","local_candidates_finite","local_candidates_evaluated_supports","chart_dim_n","chart_dim_min","chart_dim_median","chart_dim_max","chart_dim_unique","timing_frame_prep_sec","timing_system_cache_sec","timing_fold_cache_sec","timing_lambda_search_sec","timing_final_solve_sec","timing_total_fit_sec","elapsed_sec"
"s3r_0021__LA_D1_HC_Li_N500__r03__auto__full","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,3,20463609,20463608,0.1,"ps_lps","auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.031043095898246,0.0876222325926119,0.102882890363652,17,2,"tricube",0.1,2.9677292702769,4.39788176388926,5,6,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,1,1,1,NA,NA,NA,NA,NA,NA,72.62
"s3r_0022__LA_D1_HC_Li_N500__r03__auto__screened","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,3,20463619,20463618,0.1,"ps_lps","auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.050165012940294,0.104784452340827,0.116191749002059,35,2,"tricube",1,2.65603216742917,4.223628689916,5,6,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,1,1,1,NA,NA,NA,NA,NA,NA,25.307
"s3r_0023__LA_D1_HC_Li_N500__r03__local_auto__full","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,3,20463709,20463708,0.1,"ps_lps","local.auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0394335913425901,0.0988861036747854,0.107854031998239,34,2,"tricube",1,2.86682224484763,3.1183656053928,5,6,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,3,3,NA,NA,NA,NA,NA,NA,110.211
"s3r_0024__LA_D1_HC_Li_N500__r03__local_auto__screened","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,3,20463709,20463708,0.1,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0398817090867336,0.0991555868082445,0.107887166315222,35,2,"tricube",1,2.85343604396408,3.22313927480634,5,6,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,3,3,NA,NA,NA,NA,NA,NA,47.69
"s3r_0025__LA_D1_HC_Lc_N500__r01__auto__full","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,1,20561609,20561608,0.1,"ps_lps","auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0295306168499598,0.0864817105288266,0.0960026114534643,29,2,"tricube",1,2.62755565499105,0.95282997250169,5,6,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,2,2,2,1,NA,NA,NA,NA,NA,NA,102.933
"s3r_0026__LA_D1_HC_Lc_N500__r01__auto__screened","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,1,20561619,20561618,0.1,"ps_lps","auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0256643722217108,0.0946191913796073,0.102974955999997,35,2,"tricube",1,2.61175533708609,1.16802837252287,5,6,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,2,2,2,1,NA,NA,NA,NA,NA,NA,29.613
"s3r_0027__LA_D1_HC_Lc_N500__r01__local_auto__full","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,1,20561709,20561708,0.1,"ps_lps","local.auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0217622412341594,0.0974826548723151,0.103580787100401,22,2,"tricube",30,4.26522358942132,0.0463164950077851,7,8,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,3,3,NA,NA,NA,NA,NA,NA,141.85
"s3r_0028__LA_D1_HC_Lc_N500__r01__local_auto__screened","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,1,20561709,20561708,0.1,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0208020580206618,0.096979326177578,0.104313102101334,16,2,"tricube",90,7.60266067122758,0.00942004791233935,7,8,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,3,3,NA,NA,NA,NA,NA,NA,54.63
"s3r_0029__LA_D1_HC_Lc_N500__r02__auto__full","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,2,20562609,20562608,0.1,"ps_lps","auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0296603444378159,0.0909020731979237,0.101673516472855,35,2,"tricube",1,2.43286596570505,1.2375737241579,5,6,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,2,2,2,1,NA,NA,NA,NA,NA,NA,105.407
"s3r_0030__LA_D1_HC_Lc_N500__r02__auto__screened","FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",500,3,2,20562619,20562618,0.1,"ps_lps","auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0306668995945879,0.094259692347008,0.1054034355751,35,2,"tricube",1,2.60269428316549,1.53918199353101,5,6,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,2,2,2,1,NA,NA,NA,NA,NA,NA,29.399
