"support.size","degree","kernel","chart.dim","cv.rmse.observed","run.label","dataset.id","analysis.sample.policy"
30,2,"tricube",6,566.00510966345,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
31,2,"tricube",6,280.718549059873,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
32,2,"tricube",6,339.152340565967,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
33,2,"tricube",6,248.997029805929,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
34,2,"tricube",6,211.596591709419,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
35,2,"tricube",6,177.152772612512,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
15,1,"gaussian",12,8.78342799103064,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
16,1,"gaussian",13,11.9887243055669,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
17,1,"gaussian",14,12.3051948291847,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
18,1,"gaussian",14,8.21604356650638,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
19,1,"gaussian",15,8.69416651384245,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
20,1,"gaussian",16,9.03689526281761,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
21,1,"gaussian",16,7.73037877367098,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
22,1,"gaussian",17,6.84156821374321,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
23,1,"gaussian",18,7.27089217960186,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
24,1,"gaussian",19,6.66729798243964,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
25,1,"gaussian",19,5.77382590718037,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
26,1,"gaussian",20,5.54488156749707,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
27,1,"gaussian",21,5.6759878750851,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
28,1,"gaussian",21,5.01198405125243,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
29,1,"gaussian",22,5.11762262764272,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
30,1,"gaussian",23,5.16208261585694,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
31,1,"gaussian",23,4.65395884451376,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
32,1,"gaussian",24,4.72542003925959,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
33,1,"gaussian",25,4.6075353644,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
34,1,"gaussian",25,4.44981225863146,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
35,1,"gaussian",26,4.61405921710393,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
15,2,"gaussian",3,123.402469420079,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
16,2,"gaussian",4,320.770199833309,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
17,2,"gaussian",4,593.736266523905,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
18,2,"gaussian",4,185.635991441386,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
19,2,"gaussian",4,128.941867091645,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
20,2,"gaussian",4,95.8024860849963,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
21,2,"gaussian",4,94.2213654918967,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
22,2,"gaussian",5,376.846965225547,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
23,2,"gaussian",5,213.603092506975,"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
