"batch_id","dataset_id","method","lambda.sync","lambda.ridge","cv.rmse.observed","total.local.gcv.ps","sync.energy","mean.sync.squared.disagreement","ridge.median","ridge.max"
"FB02","LA-D1-HC-Li-N500","PS-LPS local.auto",1,1e-08,0.12091085245439,6.27456137497262,2.04108186394824,0.000132559302841766,9.87804591841924e-06,9.87804591841924e-06
"FB03","LA-D1-HC-Lc-N500","ridge-LPS auto",0,1e-08,0.221345164039077,2.73833747704554,8.12460627347631,0.000648035904711916,1.07712331049518e-07,2.59869600307916e-07
"FB03","LA-D1-HC-Lc-N500","ridge-LPS local.auto",0,1e-08,0.23674659295351,3.4493152872571,7.88139789246838,0.000746712972737235,9.37638008896652e-08,2.3e-07
"FB03","LA-D1-HC-Lc-N500","PS-LPS auto",0,1e-08,0.221345164039077,2.73833747704554,8.12460627347631,0.000648035904711916,1.07712331049518e-07,2.59869600307916e-07
"FB03","LA-D1-HC-Lc-N500","PS-LPS auto",0.1,1e-08,0.119288947905754,2.78506122908629,2.16009809594044,0.000172294025919646,9.82869599387475e-07,9.82869599387475e-07
"FB03","LA-D1-HC-Lc-N500","PS-LPS auto",1,1e-08,0.111094808188163,2.88493546352204,0.491353358557451,3.91913906382783e-05,7.48986959110364e-06,7.48986959110364e-06
"FB03","LA-D1-HC-Lc-N500","PS-LPS local.auto",0,1e-08,0.23674659295351,3.4493152872571,7.88139789246838,0.000746712972737235,9.37638008896652e-08,2.3e-07
"FB03","LA-D1-HC-Lc-N500","PS-LPS local.auto",0.1,1e-08,0.163685282583097,3.51672425378074,2.14538135327404,0.000203261415019939,8.43999999076982e-07,8.43999999076982e-07
"FB03","LA-D1-HC-Lc-N500","PS-LPS local.auto",1,1e-08,0.122267072490232,3.66956742367713,0.372518163682961,3.52937574269837e-05,6.36999999076978e-06,6.36999999076978e-06
"FB04","LA-D1-HC-Gv-N500","ridge-LPS auto",0,1e-08,0.120962857471965,2.56075619085931,10.8904799790227,0.000648301071448586,1.44606058672361e-07,3.25200038372343e-07
"FB04","LA-D1-HC-Gv-N500","ridge-LPS local.auto",0,1e-08,0.122643091930574,2.87327764707069,7.81308921801335,0.00046510659962813,1.44606058672361e-07,3.25200038372343e-07
"FB04","LA-D1-HC-Gv-N500","PS-LPS auto",0,1e-08,0.120962857471965,2.56075619085931,10.8904799790227,0.000648301071448586,1.44606058672361e-07,3.25200038372343e-07
"FB04","LA-D1-HC-Gv-N500","PS-LPS auto",0.1,1e-08,0.114326175230977,2.58361322001701,2.94692909055194,0.000175428198809221,1.17063168955509e-06,1.17063168955509e-06
"FB04","LA-D1-HC-Gv-N500","PS-LPS auto",1,1e-08,0.11436321319405,2.64589840343673,0.892265078359078,5.31157862124144e-05,9.04563168538853e-06,9.04563168538853e-06
"FB04","LA-D1-HC-Gv-N500","PS-LPS local.auto",0,1e-08,0.122643091930574,2.87327764707069,7.81308921801335,0.00046510659962813,1.44606058672361e-07,3.25200038372343e-07
"FB04","LA-D1-HC-Gv-N500","PS-LPS local.auto",0.1,1e-08,0.108001948768546,2.90714603924596,1.49549385141039,8.90254853855519e-05,1.17063168955509e-06,1.17063168955509e-06
"FB04","LA-D1-HC-Gv-N500","PS-LPS local.auto",1,1e-08,0.105076149654894,2.96508822446563,0.285513314468012,1.699636637127e-05,9.04563168538853e-06,9.04563168538853e-06
"FB05","LA-D1-HC-Bv-N500","ridge-LPS auto",0,1e-08,0.374818232314938,4.37868493906433,4.44630370732217,0.000662581321956525,6.61356052937347e-08,1.5e-07
"FB05","LA-D1-HC-Bv-N500","ridge-LPS local.auto",0,1e-08,0.191844576205846,5.00569092205724,4.1030291252812,0.000255935447614882,2.63187138067867e-07,3.1633017771161e-07
"FB05","LA-D1-HC-Bv-N500","PS-LPS auto",0,1e-08,0.374818232314938,4.37868493906433,4.44630370732217,0.000662581321956525,6.61356052937347e-08,1.5e-07
"FB05","LA-D1-HC-Bv-N500","PS-LPS auto",0.1,1e-08,0.186457505331838,4.54454275904627,1.63297301892598,0.000243343121122723,5.10827112450681e-07,5.10827112450681e-07
"FB05","LA-D1-HC-Bv-N500","PS-LPS auto",1,1e-08,0.132763519176998,4.86827770356541,0.273822592440799,4.08046204721034e-05,3.75827112450676e-06,3.75827112450676e-06
"FB05","LA-D1-HC-Bv-N500","PS-LPS local.auto",0,1e-08,0.191844576205846,5.00569092205724,4.1030291252812,0.000255935447614882,2.63187138067867e-07,3.1633017771161e-07
"FB05","LA-D1-HC-Bv-N500","PS-LPS local.auto",0.1,1e-08,0.112018685942587,5.0381723023221,2.38656371701334,0.000148867150226087,1.2303301772406e-06,1.2303301772406e-06
"FB05","LA-D1-HC-Bv-N500","PS-LPS local.auto",1,1e-08,0.108571141982079,5.12418542360099,0.569378253073805,3.55162182897341e-05,9.45633017300159e-06,9.45633017300159e-06
"FB06","LA-D2-RAW-N500","ridge-LPS auto",0,1e-08,1.04357881700712,2.9175456341405,12.2582998256955,0.000891318305779958,7.25956339455257e-08,2.28834721393284e-07
"FB06","LA-D2-RAW-N500","ridge-LPS local.auto",0,1e-08,1.62048980506185,35.3455355241443,17.4285290670214,0.00113796670582639,2.43663392808951e-07,3.05066602872658e-07
"FB06","LA-D2-RAW-N500","PS-LPS auto",0,1e-08,1.04357881700712,2.9175456341405,12.2582998256955,0.000891318305779958,7.25956339455257e-08,2.28834721393284e-07
"FB06","LA-D2-RAW-N500","PS-LPS auto",0.1,1e-08,0.284519370277327,3.24041016877234,3.90473535938124,0.000283918826797444,4.70192834255021e-07,4.70192834255021e-07
"FB06","LA-D2-RAW-N500","PS-LPS auto",1,1e-08,0.165685763850677,3.76943090971654,0.68806581762841,5.00302380880016e-05,3.17019283078651e-06,3.17019283078651e-06
"FB06","LA-D2-RAW-N500","PS-LPS local.auto",0,1e-08,1.62048980506185,35.3455355241443,17.4285290670214,0.00113796670582639,2.43663392808951e-07,3.05066602872658e-07
"FB06","LA-D2-RAW-N500","PS-LPS local.auto",0.1,1e-08,1.29909275441788,38.39176945889,10.8846589345737,0.000710695631523971,6.25030770306073e-07,6.25030770306073e-07
"FB06","LA-D2-RAW-N500","PS-LPS local.auto",1,1e-08,0.94511383014516,44.8293141047914,3.08613742206173,0.000201504190193335,3.58603076864459e-06,3.58603076864459e-06
"FB07","LA-D2-HC-TOP1-N500","ridge-LPS auto",0,1e-08,3.09908421187266,11.4651490779855,8.09361135266617,0.000867668456769558,1.59727892847199e-07,2.61615092724619e-06
