"batch_id","dataset_id","chart_dim_rule","lambda_ridge","lambda_sync","status","error","support_size","degree","kernel","chart_dim_summary","cv_rmse_observed","observed_rmse","truth_rmse","total_local_gcv","sync_energy","mean_sync_squared_disagreement","ridge_median","ridge_max","elapsed_sec","selected_by_cv","requested_zero_ridge_fallback"
"FB04","LA-D1-HC-Gv-N500","local.auto",1e-10,10,"ok",,35,2,"tricube",1,0.10515680957494,0.0957981889382026,0.0321355098497238,2.99232492339823,0.0708176320730952,4.21571380130847e-06,8.77956316437233e-07,8.77956316437233e-07,13.851,TRUE,FALSE
"FB04","LA-D1-HC-Gv-N500","local.auto",1e-08,3,"ok",,35,2,"tricube",1,0.104377875041512,0.0953754354135795,0.0317047788808513,2.9956676402482,0.141609219812764,8.42987720545373e-06,2.65456316761291e-05,2.65456316761291e-05,13.94,TRUE,FALSE
"FB04","LA-D1-HC-Gv-N500","local.auto",1e-06,0.3,"ok",,35,2,"tricube",1,0.105523704046714,0.0945404375590038,0.0323372568791549,2.99486632603227,0.640514453656813,3.81292842357608e-05,0.000292063168862919,0.000292063168862919,13.677,TRUE,FALSE
"FB05","LA-D1-HC-Bv-N500","auto",0,10,"ok",,15,2,"tricube",2,0.113477898483251,0.089530189019413,0.0393190612762699,5.28773082285316,0.0220710626186677,3.28899571632488e-06,5.39909470752891e-05,5.39909470752891e-05,2.76099999999997,TRUE,TRUE
"FB05","LA-D1-HC-Bv-N500","auto",1e-10,10,"ok",,15,2,"tricube",2,0.167022083313043,0.0864243290094638,0.0455337603580122,5.04835705350632,0.0329050116310615,4.90345409145121e-06,3.62327112450678e-07,3.62327112450678e-07,2.96799999999996,TRUE,FALSE
"FB05","LA-D1-HC-Bv-N500","auto",1e-08,10,"ok",,15,2,"tricube",2,0.114029739633394,0.0892367613223577,0.0399851654635404,5.26431867086145,0.0225984360851876,3.36758409705922e-06,3.62327112450678e-05,3.62327112450678e-05,3.07100000000003,TRUE,FALSE
"FB05","LA-D1-HC-Bv-N500","auto",1e-06,10,"ok",,15,2,"tricube",2,0.1088175235597,0.0933126188432993,0.0313154647094831,5.56446686735288,0.0191531541286774,2.85417349276375e-06,0.00362327112450678,0.00362327112450678,2.94200000000001,TRUE,FALSE
"FB05","LA-D1-HC-Bv-N500","local.auto",0,10,"ok",,34,2,"gaussian",2,341.204175874237,0.0951948617586499,0.0313317053066807,5.14465111943064,0.129856844879392,8.10010572805422e-06,0,0,13.207,TRUE,FALSE
"FB05","LA-D1-HC-Bv-N500","local.auto",1e-10,10,"ok",,34,2,"gaussian",2,0.107001447916844,0.0959760156038816,0.030669823544184,5.22915877996367,0.102414903910312,6.388354426542e-06,9.17163301306105e-07,9.17163301306105e-07,13.294,TRUE,FALSE
"FB05","LA-D1-HC-Bv-N500","local.auto",1e-08,10,"ok",,34,2,"gaussian",2,0.106711338621043,0.0967327099741218,0.0295282132541863,5.2770652162849,0.0864314175656005,5.39134938290859e-06,9.17163301306106e-05,9.17163301306106e-05,12.917,TRUE,FALSE
"FB05","LA-D1-HC-Bv-N500","local.auto",1e-06,10,"ok",,34,2,"gaussian",2,0.105629433775995,0.0980501599016837,0.0286427419636889,5.36755603959717,0.0749328830555198,4.6741030541853e-06,0.00917163301306105,0.00917163301306105,12.948,TRUE,FALSE
"FB06","LA-D2-RAW-N500","auto",0,10,"ok",,30,2,"tricube",4,22.9516606023301,0.0661085471056334,0.064534024090449,3.10755588540892,0.147556743546988,1.07290593748589e-05,0,0,9.63300000000004,TRUE,FALSE
"FB06","LA-D2-RAW-N500","auto",1e-10,10,"ok",,30,2,"tricube",4,0.18794037373115,0.0804708483642382,0.0487016143661038,3.93653513211604,0.0740401795584064,5.3835661015004e-06,3.01701927961015e-07,3.01701927961015e-07,9.73400000000004,TRUE,FALSE
"FB06","LA-D2-RAW-N500","auto",1e-08,10,"ok",,30,2,"tricube",4,0.119622317305263,0.0885615412568489,0.0375092130331258,4.46723897675545,0.0621152793209476,4.51648975099649e-06,3.01701927961015e-05,3.01701927961015e-05,9.65999999999997,TRUE,FALSE
"FB06","LA-D2-RAW-N500","auto",1e-06,3,"ok",,30,2,"tricube",4,0.116406894429787,0.0912020571562626,0.034068694258303,4.66040808660777,0.225354679381097,1.63858572462473e-05,0.000917019282307872,0.000917019282307872,9.63699999999994,TRUE,FALSE
"FB06","LA-D2-RAW-N500","local.auto",0,10,"ok",,33,2,"gaussian",4,1.49234065895203,0.0880134531048611,0.0469970104567289,36.7314769270174,1.00082641224951,6.53472895544974e-05,0,0,12.43,TRUE,FALSE
"FB06","LA-D2-RAW-N500","local.auto",1e-10,10,"ok",,33,2,"gaussian",4,1.39884835486268,0.0925707369088227,0.0440564339518302,46.3737553192284,0.771571216831815,5.03784543464412e-05,3.31960307520297e-07,3.31960307520297e-07,11.8939999999999,TRUE,FALSE
"FB06","LA-D2-RAW-N500","local.auto",1e-08,10,"ok",,33,2,"gaussian",4,0.611507179085979,0.0972411104549378,0.0379610003983361,52.7975912785994,0.681293959391027,4.44839515535849e-05,3.31960307520297e-05,3.31960307520297e-05,12.706,TRUE,FALSE
"FB06","LA-D2-RAW-N500","local.auto",1e-06,3,"ok",,33,2,"gaussian",4,0.111447480847335,0.0953599493757578,0.0328799704931228,52.2904091801793,1.42240898478431,9.2873819731334e-05,0.00101660307649524,0.00101660307649524,12.14,TRUE,FALSE
"FB07","LA-D2-HC-TOP1-N500","auto",0,10,"ok",,21,2,"gaussian",3,37.2209280606722,0.0849458117816285,0.0564553592293933,11.4182466171575,0.461817659139997,4.95087542698641e-05,0,0,5.34100000000001,TRUE,FALSE
"FB07","LA-D2-HC-TOP1-N500","auto",1e-10,10,"ok",,21,2,"gaussian",3,3.56768753264279,0.0976220503342423,0.0584253336120623,13.8163629245608,0.703841971784116,7.54547569505412e-05,7.24018752036848e-07,7.24018752036848e-07,5.33799999999997,TRUE,FALSE
"FB07","LA-D2-HC-TOP1-N500","auto",1e-08,10,"ok",,21,2,"gaussian",3,0.431117580377551,0.111167662023283,0.0731909570391066,16.8187075620468,1.14001389725811,0.000122214182993103,7.24018752036848e-05,7.24018752036848e-05,5.34000000000003,TRUE,FALSE
"FB07","LA-D2-HC-TOP1-N500","auto",1e-06,10,"ok",,21,2,"gaussian",3,0.148185040049993,0.129731116883563,0.0957259803873175,21.2840717016937,2.71324099733557,0.000290870604779724,0.00724018752036848,0.00724018752036848,5.38199999999995,TRUE,FALSE
"FB07","LA-D2-HC-TOP1-N500","local.auto",0,10,"ok",,35,2,"gaussian",3,8.6670959926308,0.111886687778858,0.0742610555420666,23.6588639675652,2.47455617453029,0.000149110070598308,0,0,13.884,TRUE,FALSE
"FB07","LA-D2-HC-TOP1-N500","local.auto",1e-10,10,"ok",,35,2,"gaussian",3,1.08824440403271,0.116061906718893,0.0685135051167833,32.0512301775103,3.35590068918321,0.000202217510289498,1.54930486119918e-06,1.54930486119918e-06,15.0210000000001,TRUE,FALSE
"FB07","LA-D2-HC-TOP1-N500","local.auto",1e-08,10,"ok",,35,2,"gaussian",3,0.171173937479383,0.121264279699212,0.0770350343977301,38.7627420194107,3.87770334345828,0.000233659928698977,0.000154930486119918,0.000154930486119918,14.755,TRUE,FALSE
"FB07","LA-D2-HC-TOP1-N500","local.auto",1e-06,0.3,"ok",,35,2,"gaussian",3,0.138268807667966,0.123500539692026,0.0863094670129904,36.8327871226772,10.966861003884,0.000660833419488399,0.000951558359643092,0.000951558359643092,13.5509999999999,TRUE,FALSE
"FB08","LA-D3-RAW-N500","auto",0,1,"ok",,31,2,"gaussian",4,35.3811986515542,0.0653851842757679,0.065148143613744,8.50918557144103,3.75163236927288,0.000258947568530535,0,0,10.5219999999999,TRUE,FALSE
