"batch_id","dataset_id","method","status","selected_lambda_sync","selected_support_size","selected_degree","selected_kernel","selected_chart_dim","selected_cv_rmse_observed","observed_rmse","truth_rmse","total_local_gcv_ps","sync_energy","mean_sync_disagreement","elapsed_sec","dataset_label","best_truth_rmse","truth_rmse_delta_from_best"
"FB08","LA-D3-RAW-N500","PS-LPS local.auto","ok",1,33,2,"gaussian",4,1.00433418557904,0.0876548248797302,0.0436911692748442,41.1961103654032,3.59636166844653,0.000231649705099546,34.531,"FB08 LA-D3-RAW-N500",0.0436911692748442,0
"FB09","LA-13K-SUB-N500","PS-LPS auto","ok",1,15,2,"gaussian",3,0.52630576252396,0.0640412877351169,0.0636521703170962,18.5840853137371,1.8951397185493,0.000322056202404679,6.60299999999995,"FB09 LA-13K-SUB-N500",0.0617842600298582,0.00186791028723797
"FB09","LA-13K-SUB-N500","PS-LPS local.auto","ok",1,15,2,"gaussian",3,0.258760915185019,0.06600826926501,0.0617842600298582,18.1635791543926,1.99537959180094,0.00033909076328321,6.63600000000002,"FB09 LA-13K-SUB-N500",0.0617842600298582,0
"FB10","SYN-PARA-LINE-N500","PS-LPS auto","ok",1,35,2,"gaussian",2,0.108448768938567,0.09568242754776,0.0290423785805415,5.36422323128584,0.865147950062741,6.02156221109838e-05,29.324,"FB10 SYN-PARA-LINE-N500",0.0290423785805415,0
"FB10","SYN-PARA-LINE-N500","PS-LPS local.auto","ok",1,32,2,"gaussian",2,0.109052847774004,0.0948226937172946,0.0294824343394256,5.4847029165831,0.8710370617067,6.67282385865421e-05,24.483,"FB10 SYN-PARA-LINE-N500",0.0290423785805415,0.000440055758884152
"FB11","SYN-SADDLE-LINE-N500","PS-LPS auto","ok",1,32,2,"gaussian",2,0.105288252262416,0.0927423823257479,0.0348394503537633,5.40268366083703,1.06688808112988,8.0665967183829e-05,24.964,"FB11 SYN-SADDLE-LINE-N500",0.0348394503537633,0
"FB11","SYN-SADDLE-LINE-N500","PS-LPS local.auto","ok",1,32,2,"gaussian",2,0.105224003626104,0.0927033988991721,0.0348666546675399,5.39626732942818,1.06925057790251,8.08445923747031e-05,25.228,"FB11 SYN-SADDLE-LINE-N500",0.0348394503537633,2.72043137766326e-05
"FB12","SYN-TWO-PLANES-N600","PS-LPS auto","ok",1,35,2,"gaussian",2,0.107974523090759,0.092796567203916,0.0317031064186862,6.0319759330906,1.86040778210164,0.000108377477774784,41.236,"FB12 SYN-TWO-PLANES-N600",0.0317031064186862,0
"FB12","SYN-TWO-PLANES-N600","PS-LPS local.auto","ok",1,35,2,"gaussian",2,0.108380356554144,0.0922216424847531,0.0335133907146345,6.2407313126426,1.56583534419115,9.12172518555811e-05,41.673,"FB12 SYN-TWO-PLANES-N600",0.0317031064186862,0.0018102842959483
"FB13","SYN-SIMPLEX-FACES-N600","PS-LPS auto","ok",1,16,2,"tricube",3,0.121411196986177,0.0730129241572479,0.0577088523413456,11.6164682825505,0.427090870421991,4.74768830808019e-05,11.9559999999999,"FB13 SYN-SIMPLEX-FACES-N600",0.0389399027667966,0.018768949574549
"FB13","SYN-SIMPLEX-FACES-N600","PS-LPS local.auto","ok",1,33,2,"gaussian",3,0.104778577858036,0.087224700839524,0.0389399027667966,7.0539903997367,1.79615710274253,9.05321121064921e-05,48.2529999999999,"FB13 SYN-SIMPLEX-FACES-N600",0.0389399027667966,0
"FB14","SYN-RANK-BLOCKS-N600-P100","PS-LPS auto","ok",1,35,2,"gaussian",6,0.264392797536688,0.0414297210882616,0.0749699796045122,36.6563535416921,5.67390454973574,0.000329954905569863,50.903,"FB14 SYN-RANK-BLOCKS-N600-P100",0.068431857714423,0.00653812189008923
"FB14","SYN-RANK-BLOCKS-N600-P100","PS-LPS local.auto","ok",1,35,2,"gaussian",6,0.141815587802264,0.049771465604482,0.068431857714423,32.1951411170099,6.3835104967209,0.000371220662012701,49.8109999999999,"FB14 SYN-RANK-BLOCKS-N600-P100",0.068431857714423,0
