"support.size","degree","kernel","chart.dim","cv.rmse.observed","run.label","dataset.id"
16,2,"gaussian",2,0.138757413474027,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
17,2,"gaussian",2,0.142467202293085,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
18,2,"gaussian",2,0.143264004606618,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
19,2,"gaussian",2,0.149869679821938,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
20,2,"gaussian",2,0.151515560883711,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
21,2,"gaussian",2,0.153251105420959,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
22,2,"gaussian",2,0.158630752242589,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
23,2,"gaussian",2,0.16255339228879,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
24,2,"gaussian",2,0.167674583477231,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
25,2,"gaussian",2,0.168048481492961,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
26,2,"gaussian",2,0.171668059066664,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
27,2,"gaussian",2,0.175609610808922,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
28,2,"gaussian",2,0.17806316686125,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
29,2,"gaussian",2,0.183910581938923,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
30,2,"gaussian",2,0.188813221174709,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
31,2,"gaussian",2,0.191542084870922,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
32,2,"gaussian",2,0.197075577359598,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
33,2,"gaussian",2,0.201571788635134,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
34,2,"gaussian",2,0.203747016081271,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
35,2,"gaussian",2,0.207461295325923,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
15,1,"tricube",2,0.1987554731746,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
16,1,"tricube",2,0.204396313403783,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
17,1,"tricube",2,0.209749538124016,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
18,1,"tricube",2,0.215768707028456,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
19,1,"tricube",2,0.219677106862096,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
20,1,"tricube",2,0.224180274731501,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
21,1,"tricube",2,0.229584620622119,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
22,1,"tricube",2,0.234820342071097,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
23,1,"tricube",2,0.244652009212181,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
24,1,"tricube",2,0.249445872868789,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
25,1,"tricube",2,0.255940072083859,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
26,1,"tricube",2,0.261770349770069,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
27,1,"tricube",2,0.268600115379893,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
28,1,"tricube",2,0.27473580273006,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
29,1,"tricube",2,0.281675881666371,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
