"pair_id","dataset_id","geometry_family","repetition","chart_dim_rule","response_seed_match","fold_seed_match","full_status","screened_status","pair_status","pair_complete","pair_exclusion_reason","truth_rmse_full","truth_rmse_screened","delta_truth_rmse","cv_rmse_full","cv_rmse_screened","delta_cv_rmse","elapsed_full","elapsed_screened","elapsed_ratio_screened_full","support_full","support_screened","lambda_full","lambda_screened","full_candidate_key","screened_candidate_key","screened_evaluated_candidate_keys","screened_evaluated_supports","full_support_in_screened_evaluated_supports","full_candidate_key_in_screened_evaluated_candidates","support_match","lambda_match","full_candidates_evaluated","screened_candidates_evaluated","candidate_key_matching_available"
"LA_D1_HC_Gv_N500__r02__local_auto","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",2,"local.auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0325859642640405,0.0318605283149483,-0.000725435949092135,0.106864635480425,0.107081453066711,0.000216817586285473,42.748,19.091,0.446593992701413,23,25,1,1,"23|2|tricube","25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",FALSE,FALSE,FALSE,TRUE,21,4,TRUE
"LA_D1_HC_Gv_N500__r03__auto","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",3,"auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0271784063031673,0.0258268926426573,-0.00135151366050997,0.102432823059615,0.103296043256607,0.000863220196991435,33.516,10.462,0.312149421171978,28,15,1,10,"28|2|tricube","15|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",FALSE,FALSE,FALSE,FALSE,21,4,TRUE
"LA_D1_HC_Gv_N500__r03__local_auto","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",3,"local.auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0296311162090122,0.0287215015804965,-0.000909614628515677,0.105797019445103,0.105959724972398,0.000162705527295054,42.082,18.005,0.427855139964831,19,25,1,1,"19|2|tricube","25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",FALSE,FALSE,FALSE,TRUE,21,4,TRUE
"LA_D1_HC_Bv_N500__r01__auto","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube",1,"auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0260184351346774,0.0260184351346774,0,0.0990030336517653,0.0990030336517653,0,49.51,12.841,0.259361745102,25,25,90,90,"25|2|tricube","25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",TRUE,TRUE,TRUE,TRUE,21,4,TRUE
"LA_D1_HC_Bv_N500__r01__local_auto","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube",1,"local.auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0293012242079024,0.0293012242079024,0,0.108316588864965,0.108316588864965,0,52.203,20.809,0.398616937723886,25,25,90,90,"25|2|tricube","25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",TRUE,TRUE,TRUE,TRUE,21,4,TRUE
"LA_D1_HC_Bv_N500__r02__auto","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube",2,"auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0267260877892234,0.0270195888562817,0.000293501067058281,0.101618083916023,0.101715593977052,9.75100610288021e-05,51.451,13.229,0.257118423354259,17,16,90,90,"17|2|tricube","16|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",FALSE,FALSE,FALSE,TRUE,21,4,TRUE
"LA_D1_HC_Bv_N500__r02__local_auto","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube",2,"local.auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.022896631571349,0.022896631571349,0,0.106321848304981,0.106321848304981,0,53.341,21.413,0.401436043568737,15,15,90,90,"15|2|tricube","15|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",TRUE,TRUE,TRUE,TRUE,21,4,TRUE
"LA_D1_HC_Bv_N500__r03__auto","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube",3,"auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0245190654913763,0.024670039727266,0.000150974235889664,0.100331919939294,0.100502476690848,0.000170556751553336,52.153,14.203,0.272333326941883,20,25,30,10,"20|2|tricube","25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",FALSE,FALSE,FALSE,FALSE,21,4,TRUE
"LA_D1_HC_Bv_N500__r03__local_auto","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube",3,"local.auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0278726247965118,0.0263263616542029,-0.00154626314230889,0.106970326469949,0.107673514156851,0.00070318768690146,53.764,20.068,0.373260918086452,19,35,30,10,"19|2|tricube","35|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",FALSE,FALSE,FALSE,FALSE,21,4,TRUE
"LA_D2_RAW_N500__r01__auto","LA-D2-RAW-N500","VALENCIA depth2 dCST",1,"auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0296477000811343,0.0296477000811343,0,0.116641402277607,0.116641402277607,0,343.665,148.754,0.432845940087003,31,31,30,30,"31|2|tricube","31|2|tricube","15|2|tricube;25|2|tricube;27|2|tricube;28|2|tricube;29|2|tricube;30|2|tricube;31|2|tricube;35|2|tricube","15;25;27;28;29;30;31;35",TRUE,TRUE,TRUE,TRUE,21,8,TRUE
