"dataset.id","source.file","method","variant.id","variant.label","n","ambient.dim","status","message","truth.rmse","observed.rmse","cv.rmse.observed","selected.support","selected.degree","selected.kernel","selected.chart.dim","selected.lambda.sync","finite.cv.candidates","total.cv.candidates","ridge.multiplier.selected","ridge.condition","ridge.status","frame.cols.min","frame.cols.median","frame.cols.max","frame.kept.min","frame.kept.median","frame.kept.max","elapsed.sec"
"SYN-PARA-LINE-N500","SYN-PARA-LINE-N500.rds","PS-LPS","monomial_tiny_ridge","monomial + tiny ridge",160,3,"ok","",0.0497037350500316,0.0803392853396659,0.113373787016549,25,2,"tricube","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",0.1,3,3,1e-08,NA,"unguarded",NA,NA,NA,NA,NA,NA,0.565000000000001
"SYN-PARA-LINE-N500","SYN-PARA-LINE-N500.rds","PS-LPS","weighted_qr_drop_tiny","weighted QR drop + tiny/adaptive ridge",160,3,"ok","",0.0497062085033453,0.0803369608274377,0.113381281749732,25,2,"tricube","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",0.1,3,3,0,1000159394.73066,"ok",NA,NA,NA,NA,NA,NA,1.074
"SYN-PARA-LINE-N500","SYN-PARA-LINE-N500.rds","PS-LPS","orthogonal_drop_ridge0","orthogonal polynomial drop, ridge 0",160,3,"ok","",0.0497062085033455,0.0803369608274377,0.113381281749732,25,2,"tricube","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",0.1,3,3,0,NA,"unguarded",NA,NA,NA,NA,NA,NA,0.579000000000001
"SYN-PARA-LINE-N500","SYN-PARA-LINE-N500.rds","PS-LPS","orthogonal_drop_adaptive_tiny","orthogonal polynomial drop + tiny/adaptive ridge",160,3,"ok","",0.0497062085033455,0.0803369608274377,0.113381281749732,25,2,"tricube","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",0.1,3,3,0,35.7424004576112,"ok",NA,NA,NA,NA,NA,NA,0.834000000000001
"SYN-RANK-BLOCKS-N600-P100","SYN-RANK-BLOCKS-N600-P100.rds","LPS","monomial_tiny_ridge","monomial + tiny ridge",160,100,"ok","",0.0953358831304974,0.000815270469385133,11.9764047119549,15,2,"tricube","3",NA,2,2,NA,Inf,NA,NA,NA,NA,NA,NA,NA,0.486000000000001
"SYN-RANK-BLOCKS-N600-P100","SYN-RANK-BLOCKS-N600-P100.rds","LPS","weighted_qr_drop_tiny","weighted QR drop + tiny/adaptive ridge",160,100,"ok","",0.0953358955553402,0.000815270229191897,20.4761685152129,15,2,"tricube","3",NA,2,2,NA,1e+12,NA,NA,NA,NA,NA,NA,NA,0.484999999999999
"SYN-RANK-BLOCKS-N600-P100","SYN-RANK-BLOCKS-N600-P100.rds","LPS","orthogonal_drop_ridge0","orthogonal polynomial drop, ridge 0",160,100,"ok","",0.0953358955553402,0.000815270229191899,20.4761902806765,15,2,"tricube","3",NA,2,2,NA,Inf,NA,NA,NA,NA,NA,NA,NA,0.508000000000001
"SYN-RANK-BLOCKS-N600-P100","SYN-RANK-BLOCKS-N600-P100.rds","LPS","orthogonal_drop_adaptive_tiny","orthogonal polynomial drop + tiny/adaptive ridge",160,100,"ok","",0.0953358955553402,0.000815270229191899,20.4761902806765,15,2,"tricube","3",NA,2,2,NA,1e+12,NA,NA,NA,NA,NA,NA,NA,0.507999999999999
"SYN-RANK-BLOCKS-N600-P100","SYN-RANK-BLOCKS-N600-P100.rds","PS-LPS","monomial_tiny_ridge","monomial + tiny ridge",160,100,"ok","",0.079353862636516,0.0316826090799778,0.473648580228922,15,2,"tricube","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",0.1,2,3,1e-08,NA,"unguarded",NA,NA,NA,NA,NA,NA,3.846
"SYN-RANK-BLOCKS-N600-P100","SYN-RANK-BLOCKS-N600-P100.rds","PS-LPS","weighted_qr_drop_tiny","weighted QR drop + tiny/adaptive ridge",160,100,"ok","",0.0913486818567736,0.00769171719482345,1.18121633828827,15,2,"tricube","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",0.01,3,3,0,94555321469.4445,"ok",NA,NA,NA,NA,NA,NA,10.115
"SYN-RANK-BLOCKS-N600-P100","SYN-RANK-BLOCKS-N600-P100.rds","PS-LPS","orthogonal_drop_ridge0","orthogonal polynomial drop, ridge 0",160,100,"ok","",0.091348681856783,0.0076917171948095,1.18121622546749,15,2,"tricube","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",0.01,2,3,0,NA,"unguarded",NA,NA,NA,NA,NA,NA,3.36
"SYN-RANK-BLOCKS-N600-P100","SYN-RANK-BLOCKS-N600-P100.rds","PS-LPS","orthogonal_drop_adaptive_tiny","orthogonal polynomial drop + tiny/adaptive ridge",160,100,"ok","",0.091348681856783,0.0076917171948095,1.18121622546749,15,2,"tricube","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",0.01,2,3,0,3806.96499370398,"ok",NA,NA,NA,NA,NA,NA,7.255
