"point","truth","y","fit_auto","fit_local_auto","error_auto","error_local_auto","abs_error_auto","abs_error_local_auto","squared_error_auto","squared_error_local_auto","rmse_component","mse_component","local_dim","auto_dim","dim_deviation","region","PC1","PC2","helps_local_auto","component_abs_rank","component_signed_rank"
54,0.13213895016533,0.0192026405572509,0.0107699386368378,0.012295820965256,-0.121369011528492,-0.119843129200074,0.121369011528492,0.119843129200074,0.0147304369594033,0.0143623756164657,-7.68065237264406e-06,-7.36122685875269e-07,2,2,0,"Lc",1.94645204230528,0.203458394983821,TRUE,121,464
55,0.125374433219737,0.26867680338984,0.137292053525952,0.137223911810434,0.0119176203062154,0.0118494785906973,0.0119176203062154,0.0118494785906973,0.000142029673763117,0.000140410142871393,-3.37961430201046e-08,-3.23906178344846e-09,2,2,0,"Lc",1.95981239833635,0.200738812748678,TRUE,463,276
56,0.204091573559807,0.402131563410393,0.243434662984829,0.249402128657524,0.0393430894250225,0.0453105550977174,0.0393430894250225,0.0453105550977174,0.00154787868550532,0.00205304640326329,1.0541768931812e-05,1.01033543551594e-06,2,2,0,"Gv",-0.997209760009621,1.64343765688002,FALSE,96,66
57,-0.167992976128169,-0.20471512377482,-0.173287130001253,-0.177320826790252,-0.00529415387308366,-0.0093278506620823,0.00529415387308366,0.0093278506620823,2.80280652318867e-05,8.70087979741093e-05,1.23080164100145e-06,1.17961465484445e-07,2,2,0,"Bv",-0.930691456944503,2.2001086114816,FALSE,301,176
58,-0.431851611628746,-0.536265074260399,-0.437741757571762,-0.439418114076663,-0.00589014594301573,-0.00756650244791679,0.00589014594301573,0.00756650244791679,3.46938192300247e-05,5.72519592943308e-05,4.70740096268973e-07,4.51162801286121e-08,2,2,0,"Li",-0.807605816705257,-1.70980498413226,FALSE,369,209
59,0.140249369873401,0.197221332617642,0.179163220376372,0.173904606663331,0.0389138505029714,0.0336552367899306,0.0389138505029714,0.0336552367899306,0.00151428776096761,0.0011326749633863,-7.96344222346353e-06,-7.63225595162625e-07,2,2,0,"Gv",-1.04007642997602,1.55026852162897,TRUE,114,466
60,0.224890473360841,0.211385012972758,0.197204440434775,0.194405681209351,-0.0276860329260661,-0.03048479215149,0.0276860329260661,0.03048479215149,0.000766516419183214,0.000929322552519548,3.39741550772585e-06,3.25612266672668e-07,2,2,0,"Gv",-0.922838559550597,1.04614501090719,FALSE,204,128
61,0.192433199762888,0.432594975813366,0.255538550523439,0.273540633068672,0.0631053507605509,0.0811074333057837,0.0631053507605509,0.0811074333057837,0.00398228529461216,0.00657841573745215,5.41756851897134e-05,5.19226088567997e-06,3,2,1,"Li",-0.518796653945381,-0.215837293120124,FALSE,15,13
62,0.153293652064971,0.149369651791654,0.197824167186153,0.201497910433529,0.0445305151211821,0.0482042583685584,0.0445305151211821,0.0482042583685584,0.00198296677695783,0.00232365052486273,7.10934056747832e-06,6.81367495809809e-07,2,2,0,"Li",-0.519913899598977,-0.364497191867857,FALSE,134,92
63,-0.430633581837133,-0.361659645592056,-0.340641279366277,-0.33860849125148,0.0899923024708566,0.0920250905856538,0.0899923024708566,0.0920250905856538,0.00809861450400614,0.00846861729729778,7.72116628575662e-06,7.4000558658328e-07,2,2,0,"Li",-0.805145160319624,-1.70810621964185,FALSE,120,84
64,-0.426337734317151,-0.423537518439085,-0.461350166127611,-0.456148630809312,-0.0350124318104599,-0.0298108964921608,0.0350124318104599,0.0298108964921608,0.0012258703812821,0.000888689549666324,-7.03624220269893e-06,-6.74361663231557e-07,2,2,0,"Li",-0.806569659511735,-1.69511888876402,TRUE,136,457
65,-0.419939633997964,-0.494266954886204,-0.478460505138968,-0.458442653711174,-0.0585208711410047,-0.0385030197132106,0.0585208711410047,0.0385030197132106,0.00342469235910207,0.00148248252703588,-4.05297617939722e-05,-3.88441966413239e-06,1,2,-1,"Li",-0.807673479632713,-1.67617609123659,TRUE,25,494
66,-0.428188899128502,-0.409309669177068,-0.362193477180989,-0.363573362873647,0.0659954219475129,0.064615536254855,0.0659954219475129,0.064615536254855,0.00435539571803027,0.00417516752550247,-3.760976590227e-06,-3.60456385055588e-07,2,2,0,"Li",-0.802971667548174,-1.7025454404191,TRUE,190,430
67,-0.114368528432321,-0.294864391321425,-0.149381164760035,-0.151674392540033,-0.0350126363277141,-0.037305864107712,0.0350126363277141,0.037305864107712,0.00122588470261677,0.00139172749682307,3.46078411995149e-06,3.31685588412612e-07,2,2,0,"Li",-0.879898657238085,-0.769789918136321,FALSE,201,126
68,0.1334646248028,0.280020110959088,0.172680522940985,0.170903208118143,0.0392158981381853,0.0374385833153437,0.0392158981381853,0.0374385833153437,0.00153788666678453,0.00140164752065993,-2.84301935263593e-06,-2.72478292249188e-07,2,2,0,"Lc",1.94747547690695,0.192221766578559,TRUE,232,411
69,0.0862162731219424,0.101541606943132,0.114855762299377,0.113743562253285,0.0286394891774349,0.0275272891313425,0.0286394891774349,0.0275272891313425,0.000820220340344413,0.000757751646920527,-1.30358791426634e-06,-1.24937386847771e-07,2,2,0,"Gv",-0.994435128469211,1.64776071903031,TRUE,296,378
70,0.115417326248227,0.332678493284442,0.290237819471226,0.29419394106935,0.174820493222999,0.178776614821123,0.174820493222999,0.178776614821123,0.0305622048507327,0.0319610780069001,2.91914884084037e-05,2.79774631233486e-06,3,2,1,"Gv",-0.854741920851193,1.58142294411989,FALSE,35,27
71,0.125374433219737,0.172925386109703,0.137292053525952,0.137223911810434,0.0119176203062154,0.0118494785906973,0.0119176203062154,0.0118494785906973,0.000142029673763117,0.000140410142871393,-3.37961430201046e-08,-3.23906178344846e-09,2,2,0,"Lc",1.95981239833635,0.200738812748678,TRUE,464,277
72,0.125374433219737,0.0543797901275553,0.137292053525952,0.137223911810434,0.0119176203062154,0.0118494785906973,0.0119176203062154,0.0118494785906973,0.000142029673763117,0.000140410142871393,-3.37961430201046e-08,-3.23906178344846e-09,2,2,0,"Lc",1.95981239833635,0.200738812748678,TRUE,465,278
73,0.125374433219737,0.186447068568642,0.137292053525952,0.137223911810434,0.0119176203062154,0.0118494785906973,0.0119176203062154,0.0118494785906973,0.000142029673763117,0.000140410142871393,-3.37961430201046e-08,-3.23906178344846e-09,2,2,0,"Lc",1.95981239833635,0.200738812748678,TRUE,466,279
74,0.069658144956272,-0.0237516182081532,0.0658914705805153,0.0276755816060635,-0.00376667437575667,-0.0419825633502085,0.00376667437575667,0.0419825633502085,1.41878358529819e-05,0.00176253562545427,3.64842759395232e-05,3.49669557920257e-06,3,2,1,"Gv",-1.06869804309637,1.68514567229714,FALSE,27,20
75,-0.134014717910832,-0.259378057934742,-0.204379811659657,-0.210243541882765,-0.0703650937488252,-0.0762288239719332,0.0703650937488252,0.0762288239719332,0.00495124641828096,0.00581083360414398,1.79377445778431e-05,1.71917437172603e-06,2,2,0,"Li",-0.449352211706408,-1.22666548490327,FALSE,63,48
76,0.0934503307389115,0.122594954290658,0.0559434379618651,0.0813858338495805,-0.0375068927770464,-0.012064496889331,0.0375068927770464,0.012064496889331,0.00140676700578886,0.000145552085192677,-2.6318855696651e-05,-2.52242984119236e-06,3,2,1,"Li",-0.789346274279813,-0.173018189354487,TRUE,41,490
77,0.153506439474801,0.109177252152958,0.051663446130455,0.0437855911547668,-0.101842993344346,-0.109720848320034,0.101842993344346,0.109720848320034,0.0103719952933365,0.0120386645560679,3.47798199208882e-05,3.33333852546289e-06,2,2,0,"Gv",-1.03400633088483,1.67056889120769,FALSE,30,23
78,0.110943730247803,0.111054265410966,0.103963060876468,0.108625485584737,-0.00698066937133549,-0.00231824466306579,0.00698066937133549,0.00231824466306579,4.87297448719014e-05,5.37425831783304e-06,-9.04736199707523e-07,-8.67109731081366e-08,2,2,0,"Gv",-1.04477976051843,1.393845226651,TRUE,330,360
79,-0.431851611628746,-0.42441747921358,-0.437741757571762,-0.439418114076663,-0.00589014594301573,-0.00756650244791679,0.00589014594301573,0.00756650244791679,3.46938192300247e-05,5.72519592943308e-05,4.70740096268973e-07,4.51162801286121e-08,2,2,0,"Li",-0.807605816705257,-1.70980498413226,FALSE,370,210
80,0.0723344382769061,0.0133823436580989,0.0402354583182749,0.0366643390679099,-0.0320989799586312,-0.0356700992089962,0.0320989799586312,0.0356700992089962,0.00103034451438461,0.00127235597757963,5.05026119874509e-06,4.84022926390054e-07,2,2,0,"Gv",-1.06580628997207,1.6714436020683,FALSE,167,110
81,0.189373215202279,0.132506341920429,0.168958297057845,0.135270887020874,-0.0204149181444344,-0.0541023281814052,0.0204149181444344,0.0541023281814052,0.000416768882843959,0.00292706191464847,5.23844421608498e-05,5.02058606360903e-06,3,2,1,"Gv",-0.850432576474539,0.658968545056921,FALSE,17,14
82,0.110482069978031,0.0969642084656482,0.114615392953496,0.0613531396386736,0.00413332297546465,-0.0491289303393579,0.00413332297546465,0.0491289303393579,1.70843588195039e-05,0.00241365179628948,5.00112324426427e-05,4.79313487493995e-06,3,2,1,"Gv",-1.03214214103359,1.46202914870579,FALSE,18,15
83,-0.269351370998653,-0.151542671341332,-0.242187818540538,-0.239994921783054,0.0271635524581148,0.0293564492155987,0.0271635524581148,0.0293564492155987,0.000737858582144753,0.000861801110548025,2.58641526234227e-06,2.47885056806543e-07,2,2,0,"Li",-0.8432982842815,-1.23950590938234,FALSE,240,147
84,-0.424214661511754,-0.57657134155473,-0.475325632601133,-0.474486005631023,-0.0511109710893789,-0.0502713441192696,0.0511109710893789,0.0502713441192696,0.00261233136569933,0.00252720803955802,-1.77634160565824e-06,-1.70246652282609e-07,1,2,-1,"Li",-0.808339117607247,-1.6878669800045,TRUE,273,391
85,-0.0722212385610678,-0.0128266197982256,-0.0846253073450812,-0.0751296517157231,-0.0124040687840135,-0.00290841315465531,0.0124040687840135,0.00290841315465531,0.000153860922398537,8.45886707817208e-06,-3.03422965386756e-06,-2.90804110640731e-07,2,2,0,"Li",-0.887404011370053,-0.632515358046214,TRUE,223,415
86,0.151095021143873,0.184390058265225,0.188201224182774,0.183855603694407,0.0371062030389009,0.0327605825505338,0.0371062030389009,0.0327605825505338,0.00137687030396414,0.00107325576905034,-6.33578544093402e-06,-6.07229069827596e-07,2,2,0,"Gv",-1.01473668315313,1.06293628152552,TRUE,144,450
87,0.119472443614201,0.225782427341837,0.160644903733367,0.153819099294568,0.0411724601191663,0.0343466556803673,0.0411724601191663,0.0343466556803673,0.00169517147226434,0.00117969275642571,-1.07569373905272e-05,-1.03095743167726e-06,2,2,0,"Gv",-1.05438963299812,1.63815197738241,TRUE,94,471
88,0.105977804565362,0.0755594122019319,0.106038163401859,0.106895458867285,6.03588364965352e-05,0.000917654301923226,6.03588364965352e-05,0.000917654301923226,3.64318914321547e-09,8.42089417838204e-07,1.74965780550657e-08,1.67689245738998e-09,2,2,0,"Gv",-1.0441635995224,1.44121633377755,FALSE,490,261
89,0.144042821011359,0.181044702002988,0.208870121548824,0.223824073974703,0.0648273005374645,0.0797812529633444,0.0648273005374645,0.0797812529633444,0.00420257889497475,0.00636504832440115,4.51261081137456e-05,4.32493885885279e-06,2,2,0,"Gv",-1.00603953441164,0.870404658631446,FALSE,19,16
90,-0.418301479029358,-0.391591599952135,-0.444663890160244,-0.441622397253195,-0.0263624111308861,-0.0233209182238371,0.0263624111308861,0.0233209182238371,0.000694976720633868,0.000543865226802899,-3.15337341423351e-06,-3.02222987661937e-07,1,2,-1,"Li",-0.81067769898024,-1.66986167026927,TRUE,215,418
91,0.177779521068338,0.123527517969173,0.158564014414485,0.15878096473563,-0.019215506653853,-0.0189985563327072,0.019215506653853,0.0189985563327072,0.000369235695964271,0.000360945142727048,-1.7300609970007e-07,-1.65811064744463e-08,2,2,0,"Gv",-1.02662077250111,1.40166695376638,TRUE,425,320
92,0.132653828054482,0.253440608652799,0.149868584866039,0.167317875150226,0.0172147568115575,0.0346640470957446,0.0172147568115575,0.0346640470957446,0.000296347852081066,0.001201596161056,1.88905944771779e-05,1.81049661794987e-06,2,2,0,"Gv",-1.04258862342549,1.43753726349046,FALSE,61,47
93,-0.0842484773249007,0.0317917842445945,-0.045073296542441,-0.0462460989283795,0.0391751807824597,0.0380023783965212,0.0391751807824597,0.0380023783965212,0.0015346947893384,0.00144418076379238,-1.88883396316183e-06,-1.81028051092028e-07,2,2,0,"Bv",-0.947659372057275,2.1249328670884,TRUE,266,396
94,0.198044470597474,0.268065835548974,0.203388024439949,0.268045792219714,0.00534355384247556,0.07000132162224,0.00534355384247556,0.07000132162224,2.85535676674353e-05,0.00490018502886028,0.000101660520614354,9.7432629223857e-06,3,2,1,"Gv",-0.620550066492664,1.44721828083977,FALSE,10,9
95,0.130304594956319,0.288987940410403,0.236760353359729,0.281797865544111,0.10645575840341,0.151493270587792,0.10645575840341,0.151493270587792,0.0113328284972452,0.022950211033386,0.000242429905917185,2.32347650722816e-05,3,2,1,"Gv",-0.853646176034771,1.55800383842237,FALSE,4,3
96,0.103312468719789,0.15916111127632,0.161566277121943,0.15866375173345,0.0582538084021539,0.0553512830136612,0.0582538084021539,0.0553512830136612,0.00339350619335485,0.00306376453125841,-6.88100265875996e-06,-6.59483324192881e-07,2,2,0,"Bv",-0.985389717844206,1.98666404426486,TRUE,137,456
97,0.120565826130699,-0.00709339471510476,0.0937575831387951,0.130676019642493,-0.0268082429919038,0.0101101935117942,0.0268082429919038,0.0101101935117942,0.000718681892312957,0.000102216012845925,-1.28643233271712e-05,-1.23293175893407e-06,3,2,1,"Gv",-1.03162468515028,1.71212089927832,TRUE,78,478
98,0.118988809859935,0.0616622684362467,0.174454874528551,0.172811756259293,0.0554660646686153,0.053822946399358,0.0554660646686153,0.053822946399358,0.00307648432982301,0.00289690955910817,-3.7473410756741e-06,-3.59149541429685e-07,2,2,0,"Bv",-0.959131573539166,1.94409750225327,TRUE,191,429
99,-0.113068881293387,-0.235530142783222,-0.142417237793292,-0.144501846286687,-0.0293483564999054,-0.0314329649933003,0.0293483564999054,0.0314329649933003,0.000861326029245539,0.000988031288270043,2.64406753663869e-06,2.53410518049008e-07,2,2,0,"Li",-0.819747662888716,-0.82507377957288,FALSE,237,144
100,-0.152757370692675,-0.200097434336606,-0.200480170006873,-0.200964870728912,-0.0477227993141974,-0.0482075000362373,0.0477227993141974,0.0482075000362373,0.00227746557438316,0.00232396305974382,9.70302989189195e-07,9.29949707213305e-08,2,2,0,"Li",-0.867777234919788,-0.89452197861133,FALSE,320,184
101,-0.0976258634038928,-0.159662531126305,-0.064629657690994,-0.064779613644873,0.0329962057128988,0.0328462497590198,0.0329962057128988,0.0328462497590198,0.00108874959144793,0.00107887612323191,-2.06038146995735e-07,-1.97469364320484e-08,2,2,0,"Bv",-0.94184830765008,2.12118222104577,TRUE,417,325
102,0.215244723196407,0.219456310510831,0.217259208760345,0.216639602987878,0.00201448556393766,0.00139487979147088,0.00201448556393766,0.00139487979147088,4.05815208731322e-06,1.94568963265384e-06,-4.40825695928908e-08,-4.22492490931877e-09,2,2,0,"Gv",-0.998512274189891,1.24339930976425,TRUE,455,302
103,0.11456712410263,0.0234749592473858,0.0843041946403225,0.0881979783506695,-0.0302629294623079,-0.0263691457519609,0.0302629294623079,0.0263691457519609,0.000915844899640621,0.000695331847688157,-4.60163537458118e-06,-4.41026103904927e-07,2,2,0,"Gv",-1.04381670842985,1.36373777199522,TRUE,173,442
104,0.0971710393077362,0.112973916548144,0.092382796234547,0.0925070383749756,-0.00478824307318913,-0.00466400093276059,0.00478824307318913,0.00466400093276059,2.29272717279437e-05,2.17529047007917e-05,-2.45065260629085e-08,-2.34873405430407e-09,2,2,0,"Gv",-1.05459711318061,1.50179298525829,TRUE,487,272
105,0.106380716378228,0.0409222519863461,0.104138785382128,0.104018262554317,-0.0022419309960994,-0.00236245382391091,0.0022419309960994,0.00236245382391091,5.02625459127125e-06,5.58118807011129e-06,1.15802738393926e-08,1.10986695768008e-09,2,2,0,"Gv",-1.04903295108693,1.42944285820342,FALSE,493,262
106,0.133970237695844,0.310698964633108,0.141324898602217,0.139585240321997,0.00735466090637302,0.00561500262615378,0.00735466090637302,0.00561500262615378,5.40910370477316e-05,3.15282544917138e-05,-4.70836975133501e-07,-4.51255651120355e-08,2,2,0,"Gv",-1.02618627064914,1.13237023439685,TRUE,368,341
107,0.071174240015273,0.142844987616994,0.0427603383532745,0.0320963868924271,-0.0284139016619984,-0.0390778531228459,0.0284139016619984,0.0390778531228459,0.000807349807657718,0.00152707860469072,1.50191993771224e-05,1.43945759406599e-06,2,2,0,"Gv",-1.06799224245724,1.67596823191049,FALSE,70,52
108,0.142289628269655,0.233307051219178,0.214552935165025,0.214113849368712,0.0722633068953698,0.0718242210990571,0.0722633068953698,0.0718242210990571,0.0052219855234544,0.00515871873648624,-1.32024241817449e-06,-1.26533573936312e-07,2,2,0,"Gv",-0.987300435930443,0.651499579074308,TRUE,294,379
109,0.079053893341639,0.117472429124273,-0.0214368354065404,-0.00758363660204621,-0.100490728748179,-0.0866375299436852,0.100490728748179,0.0866375299436852,0.0100983865643402,0.00750606159474296,-5.40962731089505e-05,-5.18464993919444e-06,2,2,0,"Gv",-1.06420921667878,1.62677800504167,TRUE,16,498
110,0.0915412232134952,0.259758831265437,0.106368204856975,0.103247278291263,0.0148269816434798,0.0117060550777674,0.0148269816434798,0.0117060550777674,0.000219839384656088,0.000137031725483723,-1.72801859282216e-06,-1.6561531834473e-07,2,2,0,"Gv",-1.05575758999434,1.545289532695,TRUE,274,390
111,0.0699976300088264,0.00642398461392873,0.0605708915249971,0.0121041358904162,-0.00942673848382934,-0.0578934941184102,0.00942673848382934,0.0578934941184102,8.88633984425091e-05,0.0033516566612384,6.80875112157232e-05,6.52558652559178e-06,3,2,1,"Gv",-1.06854057964256,1.68309819404292,FALSE,12,11
112,0.172036117595816,0.12587164455976,0.190137182888157,0.189580684852971,0.0181010652923404,0.0175445672571549,0.0181010652923404,0.0175445672571549,0.00032764856471757,0.000307811840240832,-4.13949978288175e-07,-3.96734489534775e-08,2,2,0,"Bv",-0.91554135704131,0.728998492420208,TRUE,393,337
113,0.283090253288201,0.426318477142368,0.341145548547709,0.425226839129666,0.0580552952595076,0.142136585841464,0.0580552952595076,0.142136585841464,0.0033704173076686,0.020202809034668,0.000351255984731758,3.36647834539987e-05,3,2,1,"Gv",-0.47847627974687,1.54471114488743,FALSE,1,1
114,0.141486486715561,0.0764168513845244,0.159781370199127,0.157268326350642,0.018294883483566,0.0157818396350806,0.018294883483566,0.0157818396350806,0.000334702761677256,0.0002490664622674,-1.78704625972693e-06,-1.71272598819713e-07,2,2,0,"Gv",-1.03577509762651,1.34556170174476,TRUE,272,392
115,0.0694451904274277,0.0487071160672311,0.0692872302513879,0.0381083698622639,-0.00015796017603982,-0.0313368205651638,0.00015796017603982,0.0313368205651638,2.4951417214531e-08,0.000981996323133275,2.04916405668755e-05,1.96394274343212e-06,3,2,1,"Gv",-1.06879664908607,1.68642783406076,FALSE,52,38
116,0.107156067063823,0.0678752741196245,0.125684470340403,0.12732945775382,0.0185284032765801,0.0201733906899975,0.0185284032765801,0.0201733906899975,0.000343301727979586,0.000406965691931279,1.32853065164289e-06,1.27327927903385e-07,2,2,0,"Gv",-1.05331588344652,1.52873342073441,FALSE,291,170
117,-0.264979142149711,-0.296978429004562,-0.206854900424943,-0.244461864077873,0.0581242417247686,0.020517278071838,0.0581242417247686,0.020517278071838,0.00337842747607933,0.000420958699477124,-6.17160427518178e-05,-5.91493755320442e-06,3,2,1,"Li",-0.723674824584166,-1.32827706535661,TRUE,14,499
118,-0.431191249955033,-0.459102580252689,-0.434007296019599,-0.433718779412009,-0.0028160460645652,-0.00252752945697549,0.0028160460645652,0.00252752945697549,7.93011543775317e-06,6.38840515587879e-06,-3.21721934716045e-08,-3.08342056374875e-09,2,2,0,"Li",-0.806271263635794,-1.70888364811062,TRUE,486,273
119,0.125374433219737,0.174793266346519,0.137292053525952,0.137223911810434,0.0119176203062154,0.0118494785906973,0.0119176203062154,0.0118494785906973,0.000142029673763117,0.000140410142871393,-3.37961430201046e-08,-3.23906178344846e-09,2,2,0,"Lc",1.95981239833635,0.200738812748678,TRUE,467,280
120,0.138324517706946,0.120591469479985,0.149449928039758,0.149247963040683,0.0111254103328123,0.010923445333737,0.0111254103328123,0.010923445333737,0.000123774755073447,0.000119321657959141,-9.29266046893805e-08,-8.9061942286118e-09,2,2,0,"Gv",-1.01591460479092,1.08488852276884,TRUE,441,310
121,0.137542884202382,0.0869471379909566,0.162708701352011,0.159570775329213,0.0251658171496284,0.0220278911268306,0.0251658171496284,0.0220278911268306,0.00063331835280853,0.000485227987495503,-3.09032892894691e-06,-2.96180730626052e-07,2,2,0,"Lc",1.94122632800974,0.187907538755505,TRUE,218,417
122,0.125374433219737,0.259678315736778,0.137292053525952,0.137223911810434,0.0119176203062154,0.0118494785906973,0.0119176203062154,0.0118494785906973,0.000142029673763117,0.000140410142871393,-3.37961430201046e-08,-3.23906178344846e-09,2,2,0,"Lc",1.95981239833635,0.200738812748678,TRUE,468,281
123,0.128357159643201,0.106899218788514,0.11204609524859,0.0901841081412361,-0.0163110643946106,-0.0381730515019649,0.0163110643946106,0.0381730515019649,0.000266050821685134,0.00145718186097167,2.48563551119148e-05,2.38226207857307e-06,3,2,1,"Lc",1.9548057540562,0.199491023654745,FALSE,46,33
124,0.125374433219737,0.107418780215398,0.137292053525952,0.137223911810434,0.0119176203062154,0.0118494785906973,0.0119176203062154,0.0118494785906973,0.000142029673763117,0.000140410142871393,-3.37961430201046e-08,-3.23906178344846e-09,2,2,0,"Lc",1.95981239833635,0.200738812748678,TRUE,469,282
125,0.127831994770541,0.117812920649185,0.108515468873394,0.114228404248631,-0.0193165258971472,-0.0136035905219106,0.0193165258971472,0.0136035905219106,0.000373128172735158,0.000185057675087817,-3.92462871120959e-06,-3.76140995294682e-07,2,2,0,"Lc",1.956073004937,0.198157245992927,TRUE,185,435
126,0.0694451904274277,0.140711821132568,0.0692872302513879,0.0381083698622639,-0.00015796017603982,-0.0313368205651638,0.00015796017603982,0.0313368205651638,2.4951417214531e-08,0.000981996323133275,2.04916405668755e-05,1.96394274343212e-06,3,2,1,"Gv",-1.06879664908607,1.68642783406076,FALSE,53,39
127,0.197333553815849,0.189977113403217,0.212329866161313,0.212165348854792,0.0149963123454641,0.0148317950389424,0.0149963123454641,0.0148317950389424,0.00022488938396272,0.000219982144077198,-1.0240359220843e-07,-9.81447977104518e-09,2,2,0,"Lc",1.8463871603517,0.124568172247573,TRUE,439,312
128,-0.217353321186023,-0.221116738332727,-0.228317876693078,-0.23272222288643,-0.0109645555070556,-0.0153689017004073,0.0109645555070556,0.0153689017004073,0.000120221477467303,0.000236203139476783,2.42028902135277e-06,2.3196332401896e-07,2,2,0,"Li",-0.854870552865646,-1.0877815177309,FALSE,245,152
129,-0.415939173367425,-0.48410522124299,-0.445353491634467,-0.435093257654106,-0.0294143182670418,-0.0191540842866812,0.0294143182670418,0.0191540842866812,0.000865202119114827,0.000366878944861287,-1.03989379599762e-05,-9.9664634850708e-07,1,2,-1,"Li",-0.811211211630759,-1.6629244697707,TRUE,99,470
130,-0.431851611628746,-0.464278638853378,-0.437741757571762,-0.439418114076663,-0.00589014594301573,-0.00756650244791679,0.00589014594301573,0.00756650244791679,3.46938192300247e-05,5.72519592943308e-05,4.70740096268973e-07,4.51162801286121e-08,2,2,0,"Li",-0.807605816705257,-1.70980498413226,FALSE,371,211
131,0.100061691186539,0.106077735229991,0.0882818098145687,0.0879051882779063,-0.0117798813719707,-0.0121565029086331,0.0117798813719707,0.0121565029086331,0.000138765605137703,0.000147780562967604,1.88122872923512e-07,1.80299156598016e-08,2,2,0,"Gv",-1.04641434155968,1.49154855606674,FALSE,421,243
132,0.118067443835905,0.0591779952099381,0.157816682278856,0.1567663192286,0.0397492384429514,0.038698875392695,0.0397492384429514,0.038698875392695,0.00158000195679461,0.00149760295665934,-1.71949075347392e-06,-1.64798000270539e-07,2,2,0,"Gv",-0.960761512238081,0.304119977564703,TRUE,275,389
133,0.1281122169586,0.181261836221857,0.18856886505976,0.190004376960071,0.0604566481011602,0.0618921600014714,0.0604566481011602,0.0618921600014714,0.00365500629962751,0.00383063946964773,3.66508830637874e-06,3.51266340040434e-07,2,2,0,"Gv",-0.969199664646462,0.408476497615734,FALSE,197,123
134,-0.0664077699859148,-0.218247178164594,-0.155144761175469,-0.157802389167874,-0.0887369911895546,-0.0913946191819587,0.0887369911895546,0.0913946191819587,0.00787425360537509,0.00835297641541525,9.98992031444297e-06,9.57445620080332e-07,2,2,0,"Li",-0.252564433530543,-1.22182272997094,FALSE,103,71
135,-0.316652302536689,-0.285996516457712,-0.278923495998285,-0.278460026210907,0.0377288065384037,0.038192276325782,0.0377288065384037,0.038192276325782,0.00142346284281229,0.00145864997094489,7.34280044247814e-07,7.03742562651924e-08,2,2,0,"Li",-0.826230441560151,-1.38094059955731,FALSE,343,194
136,0.0656584036747533,-0.0879865786790053,0.0266984130171657,0.0266505878704582,-0.0389599906575876,-0.0390078158042951,0.0389599906575876,0.0390078158042951,0.00151788087203931,0.00152160969382181,7.78125288636431e-08,7.45764356500011e-09,2,2,0,"Li",-0.921476556731355,-0.077170410593676,FALSE,448,253
137,0.0725629963746931,0.042465383691032,0.0458158901203153,0.0340664185912275,-0.0267471062543778,-0.0384965777834656,0.0267471062543778,0.0384965777834656,0.000715407692982977,0.00148198650103842,1.59968588222734e-05,1.53315761611089e-06,3,2,1,"Gv",-1.06275822124359,1.67200353734533,FALSE,64,49
138,0.07256779169499,0.0197398012504893,0.0443373536999969,0.0398316840385986,-0.028230437994993,-0.0327361076563913,0.028230437994993,0.0327361076563913,0.000796957629389147,0.00107165274449084,5.73229905297896e-06,5.49390230203389e-07,2,2,0,"Gv",-1.06581167038302,1.67164978454625,FALSE,156,100
139,0.0858792568726007,0.0206697788045008,-0.0141912993653512,-0.0111795959589294,-0.100070556237952,-0.09705885283153,0.100070556237952,0.09705885283153,0.0100141162257731,0.00942042091297261,-1.23891503424236e-05,-1.18739062560096e-06,2,2,0,"Gv",-1.01487116938714,1.64072005499245,TRUE,81,476
140,-0.353639852654987,-0.359329530439727,-0.395749681935579,-0.394676377374018,-0.0421098292805913,-0.041036524719031,0.0421098292805913,0.041036524719031,0.00177323772204054,0.00168399636101564,-1.86227617881088e-06,-1.78482722049803e-07,2,2,0,"Li",-0.657993912406622,-1.60485150684259,TRUE,269,394
141,0.0741319298168214,-0.11730401275118,0.0138543264575038,0.00636909152905038,-0.0602776033593176,-0.067762838287771,0.0602776033593176,0.067762838287771,0.00363338946674322,0.0045918022528146,2.00000233128501e-05,1.91682557214277e-06,2,2,0,"Gv",-1.0656131401205,1.65965760694462,FALSE,58,44
142,-0.429453083879455,-0.311794752677598,-0.424546745648627,-0.417923732594522,0.00490633823082798,0.0115293512849322,0.00490633823082798,0.0115293512849322,2.40721548352842e-05,0.000132925941051368,2.27154551113378e-06,2.17707572432168e-07,2,2,0,"Li",-0.806810474967844,-1.70350322691004,FALSE,256,160
143,-0.184181245863422,-0.350678489484622,-0.236229605395617,-0.235556753549446,-0.0520483595321948,-0.0513755076860235,0.0520483595321948,0.0513755076860235,0.00270903172999261,0.00263944278999666,-1.45217221896685e-06,-1.39177879991896e-07,2,2,0,"Li",-0.863115418943828,-0.988020336757622,TRUE,285,384
144,0.142577083714979,0.0962240435677407,0.205219026330097,0.207568749021636,0.0626419426151177,0.0649916653066569,0.0626419426151177,0.0649916653066569,0.0039240129745957,0.00422391655933251,6.25834585422238e-06,5.99807169473627e-07,2,2,0,"Gv",-0.964856449124198,0.545873707806945,FALSE,146,94
