"point","truth","y","fit_auto","fit_local_auto","error_auto","error_local_auto","abs_error_auto","abs_error_local_auto","squared_error_auto","squared_error_local_auto","rmse_component","mse_component","local_dim","auto_dim","dim_deviation","region","PC1","PC2","helps_local_auto","component_abs_rank","component_signed_rank"
390,-0.150839591084548,-0.231956606398569,-0.198413632493682,-0.194936959392817,-0.0475740414091343,-0.0440973683082694,0.0475740414091343,0.0440973683082694,0.00226328941599803,0.00194457789171516,-6.65082729317495e-06,-6.37423048565743e-07,2,2,0,"Li",-0.870961605839933,-0.885729185243365,TRUE,142,452
391,-0.0218876694886325,0.110512762641328,0.0398033646822761,0.0477455763416729,0.0616910341709087,0.0696332458303054,0.0616910341709087,0.0696332458303054,0.00380578369707622,0.00484878892486375,2.1765286496941e-05,2.08601045557506e-06,2,2,0,"Bv",-0.955914371052232,2.05861683559107,FALSE,49,35
392,0.143943756278621,0.205507441208888,0.171823582357238,0.170632536155883,0.0278798260786172,0.026688779877262,0.0278798260786172,0.026688779877262,0.000777284702173942,0.000712290971336946,-1.35628004010394e-06,-1.29987461673992e-07,2,2,0,"Gv",-1.01073935791571,0.995056179258967,TRUE,289,380
393,-0.00376923992230427,0.105397655631232,0.11863503944315,0.120048440303595,0.122404279365454,0.123817680225899,0.122404279365454,0.123817680225899,0.0149828076069762,0.015330817936523,7.26223064341556e-06,6.96020659093625e-07,2,2,0,"Li",-0.874996362200757,0.247740850841416,FALSE,131,89
394,0.0701682241198603,0.100828710271224,0.0715128104082099,0.0570330975297539,0.00134458628834951,-0.0131351265901064,0.00134458628834951,0.0131351265901064,1.8079122868175e-06,0.00017253155053812,3.56263688746982e-06,3.41447276502606e-07,3,2,1,"Gv",-1.06784214601467,1.68453250206493,FALSE,199,125
395,0.00196704545783333,-0.00904883079045234,-0.0775652128900957,-0.0786711372028292,-0.079532258347929,-0.0806381826606625,0.079532258347929,0.0806381826606625,0.00632538011792173,0.00650251650281437,3.69645718305656e-06,3.54272769785283e-07,2,2,0,"Li",-0.0889495545878554,-1.18505602133939,FALSE,195,122
396,0.206420704299753,0.113989426987024,0.259894977083617,0.258592589396366,0.0534742727838645,0.0521718850966136,0.0534742727838645,0.0521718850966136,0.00285949784976315,0.00272190559453425,-2.87125584324227e-06,-2.75184510457795e-07,2,2,0,"Gv",-1.01435643122874,1.57369225747576,TRUE,231,412
397,-0.430868396658549,-0.271577021286629,-0.472630569635456,-0.472814272594428,-0.0417621729769072,-0.0419458759358793,0.0417621729769072,0.0419458759358793,0.00174407909175312,0.00175945650802818,3.20893761500438e-07,3.07548325501161e-08,2,2,0,"Li",-0.807366517023846,-1.70714359012036,FALSE,403,235
398,0.110862858825953,0.115363918638141,0.168302700607147,0.169653056793102,0.0574398417811941,0.0587901979671489,0.0574398417811941,0.0587901979671489,0.00329933542384861,0.00345628737701656,3.27525129878903e-06,3.13903906335896e-07,2,2,0,"Bv",-0.981144494461451,1.9600197114366,FALSE,209,131
399,0.160483554209819,0.0889707141430305,0.227919293447569,0.231455914521089,0.0674357392377498,0.0709723603112706,0.0674357392377498,0.0709723603112706,0.00454757892654179,0.00503707592815282,1.02147546298088e-05,9.78994003222043e-07,2,2,0,"Bv",-0.991669907263499,1.81918523529654,FALSE,101,70
