"point","error_auto","error_local_auto","rmse_component","truth_rmse_auto","truth_rmse_local_auto","truth_rmse_delta","dataset_id","batch_id","local_dim","auto_dim","dim_deviation"
20,0.00349625059564629,0.00841809312475417,6.66985632795756e-07,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",3,3,0
21,-0.0003743781073971,-0.00232561501648099,5.9922689837355e-08,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
22,-0.0003743781073971,-0.00232561501648099,5.9922689837355e-08,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
23,0.00349625059564629,0.00841809312475417,6.66985632795756e-07,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",3,3,0
24,0.00349625059564629,0.00841809312475417,6.66985632795756e-07,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",3,3,0
25,0.0369353126406154,0.0226830425869524,-9.66457304083247e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
26,-0.0003743781073971,-0.00232561501648099,5.9922689837355e-08,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
27,0.0122243174470833,0.00747490625185147,-1.06416145183215e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
28,-0.0003743781073971,-0.00232561501648099,5.9922689837355e-08,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
29,0.0122243174470833,0.00747490625185147,-1.06416145183215e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
30,0.0369353126406154,0.0226830425869524,-9.66457304083247e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
31,0.0122243174470833,0.00747490625185147,-1.06416145183215e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
32,0.0122243174470833,0.00747490625185147,-1.06416145183215e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
33,-0.0003743781073971,-0.00232561501648099,5.9922689837355e-08,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
34,-0.0003743781073971,-0.00232561501648099,5.9922689837355e-08,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
35,0.0369353126406154,0.0226830425869524,-9.66457304083247e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
36,0.0313213568333389,0.0410191282783369,7.97943241694943e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",2,3,-1
37,-0.0003743781073971,-0.00232561501648099,5.9922689837355e-08,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
38,0.0122243174470833,0.00747490625185147,-1.06416145183215e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
39,0.0122243174470833,0.00747490625185147,-1.06416145183215e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
40,0.0313213568333389,0.0410191282783369,7.97943241694943e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",2,3,-1
41,-0.0003743781073971,-0.00232561501648099,5.9922689837355e-08,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
42,0.00349625059564629,0.00841809312475417,6.66985632795756e-07,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",3,3,0
43,0.0313213568333389,0.0410191282783369,7.97943241694943e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",2,3,-1
44,0.0122243174470833,0.00747490625185147,-1.06416145183215e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
45,0.00349625059564629,0.00841809312475417,6.66985632795756e-07,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",3,3,0
46,-0.0003743781073971,-0.00232561501648099,5.9922689837355e-08,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
47,0.0313213568333389,0.0410191282783369,7.97943241694943e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",2,3,-1
48,0.00349625059564629,0.00841809312475417,6.66985632795756e-07,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",3,3,0
49,0.0313213568333389,0.0410191282783369,7.97943241694943e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",2,3,-1
50,0.0369353126406154,0.0226830425869524,-9.66457304083247e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
51,-0.0003743781073971,-0.00232561501648099,5.9922689837355e-08,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
52,-0.0003743781073971,-0.00232561501648099,5.9922689837355e-08,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
53,0.0369353126406154,0.0226830425869524,-9.66457304083247e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
54,0.0122243174470833,0.00747490625185147,-1.06416145183215e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
55,0.0122243174470833,0.00747490625185147,-1.06416145183215e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
56,0.0369353126406154,0.0226830425869524,-9.66457304083247e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
57,-0.0003743781073971,-0.00232561501648099,5.9922689837355e-08,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
58,0.0369353126406154,0.0226830425869524,-9.66457304083247e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
59,0.0369353126406154,0.0226830425869524,-9.66457304083247e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
60,0.0313213568333389,0.0410191282783369,7.97943241694943e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",2,3,-1
61,0.0313213568333389,0.0410191282783369,7.97943241694943e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",2,3,-1
62,0.00349625059564629,0.00841809312475417,6.66985632795756e-07,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",3,3,0
63,0.0313213568333389,0.0410191282783369,7.97943241694943e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",2,3,-1
64,0.0122243174470833,0.00747490625185147,-1.06416145183215e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
65,0.0313213568333389,0.0410191282783369,7.97943241694943e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",2,3,-1
66,0.0369353126406154,0.0226830425869524,-9.66457304083247e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
67,0.0122243174470833,0.00747490625185147,-1.06416145183215e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
68,0.0122243174470833,0.00747490625185147,-1.06416145183215e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
69,0.0369353126406154,0.0226830425869524,-9.66457304083247e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
70,0.00349625059564629,0.00841809312475417,6.66985632795756e-07,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",3,3,0
71,0.0369353126406154,0.0226830425869524,-9.66457304083247e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
72,-0.0003743781073971,-0.00232561501648099,5.9922689837355e-08,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
73,0.0369353126406154,0.0226830425869524,-9.66457304083247e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
74,0.0369353126406154,0.0226830425869524,-9.66457304083247e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
75,-0.0003743781073971,-0.00232561501648099,5.9922689837355e-08,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
76,0.0313213568333389,0.0410191282783369,7.97943241694943e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",2,3,-1
77,0.0122243174470833,0.00747490625185147,-1.06416145183215e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
78,0.0122243174470833,0.00747490625185147,-1.06416145183215e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
79,0.0313213568333389,0.0410191282783369,7.97943241694943e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",2,3,-1
80,0.0369353126406154,0.0226830425869524,-9.66457304083247e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
81,0.0369353126406154,0.0226830425869524,-9.66457304083247e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
82,0.0122243174470833,0.00747490625185147,-1.06416145183215e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
83,0.0313213568333389,0.0410191282783369,7.97943241694943e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",2,3,-1
84,0.0122243174470833,0.00747490625185147,-1.06416145183215e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
85,0.0313213568333389,0.0410191282783369,7.97943241694943e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",2,3,-1
86,0.0122243174470833,0.00747490625185147,-1.06416145183215e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
87,0.0369353126406154,0.0226830425869524,-9.66457304083247e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",1,3,-2
88,0.00349625059564629,0.00841809312475417,6.66985632795756e-07,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",3,3,0
89,0.0313213568333389,0.0410191282783369,7.97943241694943e-06,0.0855182857789738,0.0610129155595944,-0.0245053702193794,"SYN-SIMPLEX-FACES-N600","FB13",2,3,-1
