"local.candidate.id","support.size","degree","kernel","chart.dim","chart.dim.mode","selected.lambda.sync","selected.lambda.ridge","selected.cv.rmse.observed","selected.total.local.gcv.ps","selected.sync.energy","selected.mean.sync.squared.disagreement","evaluated.lambda.count","unique.lambda.count","boundary.expansion.count","local.candidate.elapsed.sec","lambda.search.elapsed.sec","frame.prep.elapsed.sec","system.cache.elapsed.sec","fold.component.cache.elapsed.sec","final.solve.elapsed.sec","local.candidate.status","screening.cv.rmse.observed","screening.rank","screening.reason","task_id","pair_id","search_policy","chart_dim_rule","candidate_key"
20,34,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","34|2|tricube"
21,35,2,"tricube",2,"global.auto",1,0,0.109095377601776,3.04403515586431,0.928649261914837,2.26701640538013e-05,7,7,1,2.859,1.724,0.108000000000001,0.00899999999999856,0.706000000000001,0.041999999999998,"evaluated",Inf,NA,"guard","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","35|2|tricube"
1,15,2,"tricube",2,"local.auto",30,0,0.104051431049377,9.51283281852171,0.0135791974361291,8.8714854063119e-07,8,8,2,3.386,2.452,0.0809999999999995,0.0149999999999988,0.319000000000001,0.036999999999999,"evaluated",Inf,NA,"lps_selected+neighbor+guard","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","15|2|tricube"
2,16,2,"tricube",2,"local.auto",90,0,0.104090246272745,120.88461210638,0.00516061157956916,3.11610558158725e-07,8,8,2,3.226,2.26,0.0980000000000025,0.0159999999999982,0.286999999999999,0.0489999999999995,"evaluated",Inf,NA,"neighbor","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","16|2|tricube"
3,17,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","17|2|tricube"
4,18,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","18|2|tricube"
5,19,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","19|2|tricube"
6,20,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","20|2|tricube"
7,21,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","21|2|tricube"
8,22,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","22|2|tricube"
9,23,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","23|2|tricube"
10,24,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","24|2|tricube"
11,25,2,"tricube",2,"local.auto",90,0,0.102220886874911,4.89011934745946,0.0100591676857917,3.59110192602533e-07,8,8,2,3.631,2.56,0.0969999999999978,0.00900000000000034,0.440999999999999,0.0460000000000029,"evaluated",Inf,NA,"guard","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","25|2|tricube"
12,26,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","26|2|tricube"
13,27,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","27|2|tricube"
14,28,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","28|2|tricube"
15,29,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","29|2|tricube"
16,30,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","30|2|tricube"
17,31,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","31|2|tricube"
18,32,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","32|2|tricube"
19,33,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","33|2|tricube"
20,34,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","34|2|tricube"
21,35,2,"tricube",2,"local.auto",10,0,0.102619212484756,2.96055866847514,0.122687837992911,2.99505263049523e-06,8,8,2,3.568,2.047,0.102,0.0129999999999981,0.787000000000003,0.0399999999999991,"evaluated",Inf,NA,"guard","s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","screened","local.auto","35|2|tricube"
1,15,2,"tricube",2,"global.auto",90,0,0.109550521170312,7.1673835100156,0.00771864728990708,5.04270352581305e-07,8,8,2,2.432,1.758,0.0839999999999999,0.0130000000000003,0.298,0.113,"evaluated",NA,NA,"full_search","s3r_0005__LA_D1_RAW_N500__r02__auto__full","LA_D1_RAW_N500__r02__auto","full","auto","15|2|tricube"
2,16,2,"tricube",2,"global.auto",90,0,0.109340450933435,6.53093831328324,0.00940226779545458,5.67732306631768e-07,8,8,2,2.446,1.819,0.0979999999999999,0.0169999999999995,0.276000000000001,0.0270000000000001,"evaluated",NA,NA,"full_search","s3r_0005__LA_D1_RAW_N500__r02__auto__full","LA_D1_RAW_N500__r02__auto","full","auto","16|2|tricube"
3,17,2,"tricube",2,"global.auto",90,0,0.109249462475352,6.17375268066774,0.0109863246693284,6.17908110663253e-07,8,8,2,2.352,1.802,0.0979999999999999,0.0109999999999992,0.28,0.0250000000000004,"evaluated",NA,NA,"full_search","s3r_0005__LA_D1_RAW_N500__r02__auto__full","LA_D1_RAW_N500__r02__auto","full","auto","17|2|tricube"
4,18,2,"tricube",2,"global.auto",90,0,0.109340457458464,5.75127104795911,0.0130339674834117,6.79026391413485e-07,8,8,2,2.545,1.983,0.0879999999999992,0.00900000000000034,0.293000000000001,0.0350000000000001,"evaluated",NA,NA,"full_search","s3r_0005__LA_D1_RAW_N500__r02__auto__full","LA_D1_RAW_N500__r02__auto","full","auto","18|2|tricube"
