"pair_id","dataset_id","geometry_family","repetition","chart_dim_rule","response_seed_match","fold_seed_match","full_status","screened_status","pair_status","pair_complete","pair_exclusion_reason","truth_rmse_full","truth_rmse_screened","delta_truth_rmse","cv_rmse_full","cv_rmse_screened","delta_cv_rmse","elapsed_full","elapsed_screened","elapsed_ratio_screened_full","support_full","support_screened","lambda_full","lambda_screened","full_candidate_key","screened_candidate_key","screened_evaluated_candidate_keys","screened_evaluated_supports","full_support_in_screened_evaluated_supports","full_candidate_key_in_screened_evaluated_candidates","support_match","lambda_match","full_candidates_evaluated","screened_candidates_evaluated","candidate_key_matching_available"
"LA_D1_HC_Li_N500__r05__local_auto","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",5,"local.auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"LA_D1_HC_Li_N500__r06__auto","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",6,"auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"LA_D1_HC_Li_N500__r06__local_auto","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",6,"local.auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"LA_D1_HC_Li_N500__r07__auto","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",7,"auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"LA_D1_HC_Li_N500__r07__local_auto","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",7,"local.auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"LA_D1_HC_Li_N500__r08__auto","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",8,"auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"LA_D1_HC_Li_N500__r08__local_auto","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",8,"local.auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"LA_D1_HC_Li_N500__r09__auto","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",9,"auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"LA_D1_HC_Li_N500__r09__local_auto","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",9,"local.auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"LA_D1_HC_Li_N500__r10__auto","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",10,"auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
