"lambda.sync","cv.rmse.observed","total.local.gcv.ps","sync.energy","mean.sync.squared.disagreement","eval.elapsed.sec","path","evaluated_by_search","batch_id","dataset_id","chart_dim_rule","layout_id","full_selected_lambda","search_selected_lambda"
0.003,0.206941355457931,3.07214061886742,11.3381810254042,0.000824415167346938,0.366999999999999,"expanded_reference",TRUE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
0.01,0.250497290072718,3.08456483974097,9.50866195250597,0.000691388249778031,0.369999999999999,"expanded_reference",FALSE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
0.03,0.294247371352776,3.12128255623069,6.94008647773178,0.000504623496672167,0.299999999999997,"expanded_reference",FALSE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
0.1,0.284519370270136,3.24041016877234,3.90473535938118,0.00028391882679744,0.370999999999999,"expanded_reference",FALSE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
0.3,0.225837844858422,3.45339437794831,1.87576153066373,0.000136389272030516,0.300000000000001,"expanded_reference",TRUE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
1,0.16568576384366,3.76943090971656,0.68806581762842,5.00302380880024e-05,0.295000000000002,"expanded_reference",FALSE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
3,0.1329843238151,4.10328320854683,0.230109601879769,1.67315943815675e-05,0.358000000000001,"expanded_reference",FALSE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
10,0.119622317305493,4.46723897675559,0.062115279320938,4.51648975099579e-06,0.286000000000001,"expanded_reference",TRUE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
30,0.117113504579654,4.77052868356724,0.0201007021040966,1.46155045962049e-06,0.294999999999998,"expanded_reference",TRUE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
100,0.117315829426154,5.08249915337918,0.00822935099274901,5.9836774176059e-07,0.298000000000002,"expanded_reference",TRUE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
300,0.119312869169936,5.39789956309256,0.0052643449062292,3.82777958573495e-07,0.297000000000001,"expanded_reference",TRUE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
900,0.123510190965386,5.85191843874546,0.003955230098405,2.87590370639365e-07,0.359999999999999,"expanded_reference",FALSE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
2700,0.132736875968547,6.86131450164639,0.00291381825230116,2.11867843413956e-07,0.291999999999998,"expanded_reference",FALSE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
0,1.00606201307962,26.4994184241727,16.3745738316009,0.000986687586718729,0.0859999999999985,"expanded_reference",TRUE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
1.11111111111111e-05,0.630841335818944,29.6932092962572,12.9044154774816,0.00077758521818258,0.469000000000001,"expanded_reference",FALSE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
3.33333333333333e-05,0.63700571394313,29.6933120449593,12.9033120313253,0.000777518727497922,0.404,"expanded_reference",FALSE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
1e-04,0.643079881557449,29.6936202757644,12.9000039285413,0.000777319390160282,0.472000000000001,"expanded_reference",TRUE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
3e-04,0.642805899894946,29.6945448299259,12.8900996914733,0.000776722587588724,0.479999999999997,"expanded_reference",FALSE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
0.001,0.63588552184455,29.697779115252,12.8556700001877,0.000774647947396224,0.475999999999999,"expanded_reference",FALSE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
0.003,0.625578992376752,29.7070052314896,12.7592660380362,0.000768838905051451,0.414000000000001,"expanded_reference",TRUE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
0.01,0.606917592862736,29.7391075657138,12.443047705231,0.000749784442512115,0.404,"expanded_reference",FALSE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
0.03,0.579124071302176,29.8289094761806,11.6859761556265,0.000704165355998181,0.437999999999999,"expanded_reference",FALSE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
0.1,0.526286562833848,30.1179564138848,10.0068112292914,0.000602983413438495,0.445999999999998,"expanded_reference",FALSE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
0.3,0.434147317870119,30.771860947882,7.98276720836276,0.000481019988254973,0.471999999999998,"expanded_reference",TRUE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
1,0.300711395772468,32.1721789345515,6.08573738872253,0.000366710095739664,0.395,"expanded_reference",TRUE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
3,0.209944494405003,34.1800552983584,4.90934366356695,0.000295823787635282,0.402999999999999,"expanded_reference",TRUE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
10,0.171173938155619,38.7627420194108,3.87770334345828,0.000233659928698977,0.415999999999997,"expanded_reference",TRUE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
30,0.181063304551244,55.2475971941129,2.66626206591457,0.000160661749761077,0.417000000000002,"expanded_reference",TRUE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
100,0.221175511428045,119.350700320428,1.20119498248042,7.23807648755386e-05,0.480999999999995,"expanded_reference",TRUE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
300,0.26067522435757,228.230936615954,0.379713540526119,2.28805122380099e-05,0.428000000000004,"expanded_reference",TRUE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
900,0.293802730548023,332.331206268068,0.0872684891179509,5.2585634172784e-06,0.431000000000004,"expanded_reference",FALSE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
2700,0.316068361385915,397.050824312122,0.0166019171867335,1.00038668318006e-06,0.413999999999994,"expanded_reference",FALSE,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2",10,10
0,3.10453553095031,14.6609846636734,13.2421099642204,0.00225033732614002,0.0619999999999976,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
1.11111111111111e-05,2.42224316849222,14.7544934981885,13.1765322613883,0.00223919318424388,0.123999999999995,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
3.33333333333333e-05,2.45888035025018,14.7545502313062,13.1745003235673,0.00223884788084923,0.122999999999998,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
1e-04,2.47873136233405,14.7547207123993,13.1684090241807,0.00223781273777827,0.125,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
3e-04,2.47910944635724,14.7552754938992,13.1501451497137,0.00223470901197142,0.129000000000005,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
0.001,2.48971173164401,14.7577123653385,13.0863497555948,0.00222386775200534,0.128,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
0.003,2.52506002276963,14.764891852809,12.9080707463148,0.00219357137853208,0.125999999999998,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
0.01,2.56483219746532,14.7922631621389,12.3267704911708,0.00209478639144319,0.125,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
0.03,2.4251920993729,14.8841578528691,10.9549131716708,0.00186165573926232,0.125999999999998,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
0.1,1.91778047473285,15.2636052304078,8.00093731366571,0.00135966306953323,0.122,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
0.3,1.17642993020679,16.3088219859814,4.62272290169065,0.00078557615985552,0.126000000000005,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
1,0.526305762539041,18.5840853137373,1.89513971854926,0.000322056202404673,0.125,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
3,0.26231120102787,21.5096811443653,0.698276807769359,0.000118663745335678,0.122999999999998,"expanded_reference",FALSE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
10,0.168928089047041,25.1184148620288,0.209427944634019,3.55897604097917e-05,0.125999999999998,"expanded_reference",TRUE,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2",2700,2700
