"family","quantity","index","value17","generated.at.commit"
"gaussian","fitted",78,"1.1302102110061001","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",79,"0.15096775032910223","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",80,"0.042515057604162118","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",81,"0.83152133870243972","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",82,"0.48375523545549493","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",83,"-0.45367984389570915","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",84,"0.28921838051707022","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",85,"0.38070123125820632","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",86,"1.3938551179426897","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",87,"0.79425585703976731","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",88,"-0.92660218500947444","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",89,"-0.43628818082012877","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",90,"0.40743483083151194","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",91,"0.30131208610510452","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",92,"0.11272670771358297","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",93,"0.3305576646551216","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",94,"0.22122869061316325","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",95,"0.4931933358041114","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",96,"-0.21733852018199634","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",97,"0.31025907047275503","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",98,"0.61029662306111421","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",99,"-0.91702419732478035","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",100,"0.09413560337229572","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",101,"-0.29497473065028457","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",102,"0.81196619249360913","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",103,"-0.66580947730910334","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",104,"0.78327826929694022","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",105,"-0.31352707439415428","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",106,"-0.30246354655775709","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",107,"0.79716391785865959","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",108,"0.84537974650362313","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",109,"1.2497118946883385","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",110,"-0.15114678051111427","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",111,"0.7404427763215754","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",112,"-1.1392678566855641","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",113,"0.75426346964252722","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",114,"0.88244492464867108","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",115,"0.7028808683976393","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",116,"1.3622434875559981","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",117,"0.56474238487693129","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",118,"-0.0040846089622655207","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",119,"-0.56933403509743663","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",120,"1.1772316358336015","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",121,"0.93163801507491573","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",122,"0.65616513051465419","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",123,"0.29840598377128535","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",124,"0.29200918311283452","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",125,"0.56066689620002053","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",126,"-0.71259756582074285","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",127,"0.33502332640266314","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",128,"0.37552388105912438","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",129,"0.97003605311459418","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",130,"-0.4579016866211173","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",131,"0.86113778830974841","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",132,"1.372911660932274","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",133,"0.51105300210176907","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",134,"0.62424104167023842","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",135,"0.42343873576535096","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",136,"0.47898254008896579","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
